"site","lat","lon"
"1",48,-99
"2",46.95,-90.85
"3",46.01,-89.89
"4",45.7,-87.9
"5",44.12,-88.5
"6",43,-87
"7",43,-87
"8",43.25,-77.9
"9",39,-76.6
"10",39.12,-76.2
"11",38.63,-76
"12",38.38,-75.9
"13",36.17,-76.35
"14",36.2,-76.15
"15",36.12,-76.05
"16",36.2,-75.95
"17",35.9,-76.15
