"site","site_code","site_name","lat","lon"
1,"SA","Santuit River",41.6278666666667,-70.4510333333333
2,"MA","Mashpee River",41.6216666666667,-70.4803833333333
3,"QU","Quashnet River",41.5922166666667,-70.5077166666667
4,"RB","Red Brook",41.76525,-70.6339166666667
5,"HA","Sandwich Hatchery",41.75265,-70.4896833333333
6,"CO","Connetquot River",40.76305,-73.1527666666667
