0	0.015	0.0124	0.0209	0.0275	0.0187	0.0112	0.0487	0.0539	0.0452	0.0373	0.0355	0.0295	0.0395	0.0171	0.0112	0.0458	0.0154	0.0343	0.0172	0.0038	0.0058	0.0077
0.015	0	0.0012	0.0236	0.0151	0.0142	0.0053	0.0667	0.0577	0.0462	0.0497	0.0475	0.0383	0.059	0.0351	0.0289	0.0363	0.0147	0.0356	0.024	0.0144	0.0043	0.0099
0.0124	0.0012	0	0.0201	0.0152	0.0178	0.0018	0.0557	0.0553	0.0459	0.0469	0.044	0.0349	0.0545	0.0328	0.0258	0.0452	0.0174	0.0403	0.0254	0.0065	-0.0012	0.0063
0.0209	0.0236	0.0201	0	0.0087	0.0032	0.0084	0.084	0.0597	0.0568	0.0471	0.0544	0.048	0.0514	0.0387	0.0272	0.0571	0.0276	0.0486	0.0492	0.0176	0.0238	0.0202
0.0275	0.0151	0.0152	0.0087	0	0.008	0.0126	0.0808	0.0601	0.0526	0.0559	0.0577	0.0456	0.0618	0.0399	0.0309	0.0474	0.022	0.0525	0.0531	0.0224	0.0222	0.0266
0.0187	0.0142	0.0178	0.0032	0.008	0	0.0092	0.0758	0.0507	0.0497	0.0397	0.0504	0.0409	0.0585	0.0293	0.0271	0.0594	0.0271	0.0433	0.0496	0.0262	0.0244	0.0178
0.0112	0.0053	0.0018	0.0084	0.0126	0.0092	0	0.0573	0.0459	0.043	0.0399	0.0353	0.0283	0.0415	0.0248	0.017	0.0449	0.0154	0.0441	0.0311	0.0076	0.0032	0.0062
0.0487	0.0667	0.0557	0.084	0.0808	0.0758	0.0573	0	0.029	0.0255	0.0128	0.0208	0.0194	0.0232	0.019	0.0255	0.0747	0.0595	0.066	0.0549	0.0517	0.0544	0.0655
0.0539	0.0577	0.0553	0.0597	0.0601	0.0507	0.0459	0.029	0	0.0149	0.0019	0.0112	0.0126	0.0315	0.0092	0.0249	0.0566	0.0551	0.0535	0.065	0.0572	0.0536	0.0593
0.0452	0.0462	0.0459	0.0568	0.0526	0.0497	0.043	0.0255	0.0149	0	-0.0013	0.0195	0.0062	0.027	0.0226	0.0279	0.0346	0.0435	0.0455	0.0345	0.0482	0.0414	0.0519
0.0373	0.0497	0.0469	0.0471	0.0559	0.0397	0.0399	0.0128	0.0019	-0.0013	0	-0.0008	0.0028	0.0205	0.0054	0.0126	0.0553	0.0524	0.0379	0.0447	0.052	0.0448	0.0461
0.0355	0.0475	0.044	0.0544	0.0577	0.0504	0.0353	0.0208	0.0112	0.0195	-0.0008	0	0.0089	0.0224	0.0061	0.0097	0.0517	0.0537	0.0457	0.0472	0.0449	0.0403	0.0418
0.0295	0.0383	0.0349	0.048	0.0456	0.0409	0.0283	0.0194	0.0126	0.0062	0.0028	0.0089	0	0.0093	0.0067	0.0146	0.0498	0.04	0.0599	0.0338	0.0363	0.0365	0.0367
0.0395	0.059	0.0545	0.0514	0.0618	0.0585	0.0415	0.0232	0.0315	0.027	0.0205	0.0224	0.0093	0	0.0135	0.0115	0.0616	0.0482	0.0825	0.0446	0.041	0.0534	0.0543
0.0171	0.0351	0.0328	0.0387	0.0399	0.0293	0.0248	0.019	0.0092	0.0226	0.0054	0.0061	0.0067	0.0135	0	0.0013	0.0578	0.0363	0.0495	0.0436	0.0332	0.0309	0.0314
0.0112	0.0289	0.0258	0.0272	0.0309	0.0271	0.017	0.0255	0.0249	0.0279	0.0126	0.0097	0.0146	0.0115	0.0013	0	0.0418	0.025	0.0401	0.0347	0.0195	0.0206	0.0199
0.0458	0.0363	0.0452	0.0571	0.0474	0.0594	0.0449	0.0747	0.0566	0.0346	0.0553	0.0517	0.0498	0.0616	0.0578	0.0418	0	0.0218	0.0194	0.0213	0.0353	0.0349	0.0527
0.0154	0.0147	0.0174	0.0276	0.022	0.0271	0.0154	0.0595	0.0551	0.0435	0.0524	0.0537	0.04	0.0482	0.0363	0.025	0.0218	0	0.0315	0.0146	0.0064	0.0062	0.0323
0.0343	0.0356	0.0403	0.0486	0.0525	0.0433	0.0441	0.066	0.0535	0.0455	0.0379	0.0457	0.0599	0.0825	0.0495	0.0401	0.0194	0.0315	0	0.0318	0.0383	0.0305	0.0431
0.0172	0.024	0.0254	0.0492	0.0531	0.0496	0.0311	0.0549	0.065	0.0345	0.0447	0.0472	0.0338	0.0446	0.0436	0.0347	0.0213	0.0146	0.0318	0	0.0169	0.0152	0.0317
0.0038	0.0144	0.0065	0.0176	0.0224	0.0262	0.0076	0.0517	0.0572	0.0482	0.052	0.0449	0.0363	0.041	0.0332	0.0195	0.0353	0.0064	0.0383	0.0169	0	0.001	0.0155
0.0058	0.0043	-0.0012	0.0238	0.0222	0.0244	0.0032	0.0544	0.0536	0.0414	0.0448	0.0403	0.0365	0.0534	0.0309	0.0206	0.0349	0.0062	0.0305	0.0152	0.001	0	0.0078
0.0077	0.0099	0.0063	0.0202	0.0266	0.0178	0.0062	0.0655	0.0593	0.0519	0.0461	0.0418	0.0367	0.0543	0.0314	0.0199	0.0527	0.0323	0.0431	0.0317	0.0155	0.0078	0
