0	0.0539	0.0553	0.0496	0.0545	0.0481	0.0447	0.0423	0.0485	0.0535	0.0391	0.0564	0.0401	0.0329	0.0422	0.0509	0.0648	0.0319	0.0169	0.0175	0.0102	0.0147
0.0539	0	0.0114	0.0096	0.0128	0.0059	0.0211	0.016	0.0178	0.0168	0.0162	0.0229	0.0121	0.015	0.0348	0.0376	0.0442	0.0253	0.0363	0.0355	0.0327	0.0344
0.0553	0.0114	0	0.0231	0.0166	0.0109	0.026	0.0202	0.0224	0.0211	0.0259	0.0257	0.0176	0.0232	0.0445	0.0521	0.0571	0.0317	0.0468	0.0421	0.0421	0.0431
0.0496	0.0096	0.0231	0	0.0158	0.0094	0.0183	0.0159	0.0199	0.0181	0.0193	0.0264	0.0132	0.0159	0.0291	0.0298	0.0465	0.0246	0.0327	0.0324	0.0317	0.0324
0.0545	0.0128	0.0166	0.0158	0	0.0067	0.0216	0.0214	0.0242	0.0157	0.0232	0.0295	0.0187	0.0236	0.0365	0.0471	0.0548	0.0357	0.0416	0.0406	0.0387	0.0395
0.0481	0.0059	0.0109	0.0094	0.0067	0	0.0148	0.0151	0.0173	0.0124	0.0138	0.0212	0.0093	0.0134	0.0351	0.0358	0.0436	0.0245	0.0317	0.0317	0.0319	0.0323
0.0447	0.0211	0.026	0.0183	0.0216	0.0148	0	0.0225	0.0236	0.024	0.022	0.0321	0.0131	0.0135	0.0248	0.0217	0.0397	0.0164	0.0284	0.0304	0.0305	0.0302
0.0423	0.016	0.0202	0.0159	0.0214	0.0151	0.0225	0	0.0164	0.0145	0.0128	0.0179	0.0145	0.018	0.0355	0.0394	0.0441	0.0262	0.0311	0.0303	0.0268	0.0309
0.0485	0.0178	0.0224	0.0199	0.0242	0.0173	0.0236	0.0164	0	0.0176	0.0181	0.0238	0.0122	0.02	0.0385	0.0439	0.0482	0.0271	0.0385	0.0366	0.0337	0.0397
0.0535	0.0168	0.0211	0.0181	0.0157	0.0124	0.024	0.0145	0.0176	0	0.0164	0.0157	0.0085	0.0185	0.0345	0.0419	0.0453	0.0298	0.04	0.0407	0.0357	0.0397
0.0391	0.0162	0.0259	0.0193	0.0232	0.0138	0.022	0.0128	0.0181	0.0164	0	0.0165	0.0055	0.01	0.0301	0.0297	0.0404	0.0178	0.0261	0.0266	0.0236	0.0248
0.0564	0.0229	0.0257	0.0264	0.0295	0.0212	0.0321	0.0179	0.0238	0.0157	0.0165	0	0.0165	0.0244	0.047	0.0467	0.0539	0.0334	0.0419	0.0414	0.0411	0.0423
0.0401	0.0121	0.0176	0.0132	0.0187	0.0093	0.0131	0.0145	0.0122	0.0085	0.0055	0.0165	0	0.0069	0.0224	0.027	0.0338	0.0131	0.0232	0.0235	0.021	0.0234
0.0329	0.015	0.0232	0.0159	0.0236	0.0134	0.0135	0.018	0.02	0.0185	0.01	0.0244	0.0069	0	0.0156	0.014	0.0315	0.0089	0.0186	0.0201	0.0176	0.0204
0.0422	0.0348	0.0445	0.0291	0.0365	0.0351	0.0248	0.0355	0.0385	0.0345	0.0301	0.047	0.0224	0.0156	0	0.0179	0.0268	0.0135	0.0245	0.0269	0.0236	0.0284
0.0509	0.0376	0.0521	0.0298	0.0471	0.0358	0.0217	0.0394	0.0439	0.0419	0.0297	0.0467	0.027	0.014	0.0179	0	0.0402	0.0159	0.0249	0.0295	0.0278	0.0299
0.0648	0.0442	0.0571	0.0465	0.0548	0.0436	0.0397	0.0441	0.0482	0.0453	0.0404	0.0539	0.0338	0.0315	0.0268	0.0402	0	0.0209	0.045	0.0475	0.0426	0.0436
0.0319	0.0253	0.0317	0.0246	0.0357	0.0245	0.0164	0.0262	0.0271	0.0298	0.0178	0.0334	0.0131	0.0089	0.0135	0.0159	0.0209	0	0.0182	0.0213	0.018	0.0208
0.0169	0.0363	0.0468	0.0327	0.0416	0.0317	0.0284	0.0311	0.0385	0.04	0.0261	0.0419	0.0232	0.0186	0.0245	0.0249	0.045	0.0182	0	0.0009	0.0058	0.0088
0.0175	0.0355	0.0421	0.0324	0.0406	0.0317	0.0304	0.0303	0.0366	0.0407	0.0266	0.0414	0.0235	0.0201	0.0269	0.0295	0.0475	0.0213	0.0009	0	0.0057	0.0107
0.0102	0.0327	0.0421	0.0317	0.0387	0.0319	0.0305	0.0268	0.0337	0.0357	0.0236	0.0411	0.021	0.0176	0.0236	0.0278	0.0426	0.018	0.0058	0.0057	0	0.0033
0.0147	0.0344	0.0431	0.0324	0.0395	0.0323	0.0302	0.0309	0.0397	0.0397	0.0248	0.0423	0.0234	0.0204	0.0284	0.0299	0.0436	0.0208	0.0088	0.0107	0.0033	0
