0	0.0214	0.0218	-0.0016	0.0069	0.048	0.0076	0.0274	0.0108	0.0295
0.0214	0	0.0294	0.0148	0.0157	0.0421	0.015	0.0159	0.0136	0.0479
0.0218	0.0294	0	0.0177	0.0187	0.0433	0.026	0.0341	0.0585	0.0319
-0.0016	0.0148	0.0177	0	-0.0006	0.0377	0.0049	0.0143	0.0203	0.0239
0.0069	0.0157	0.0187	-0.0006	0	0.044	0.0026	0.0107	0.0209	0.0219
0.048	0.0421	0.0433	0.0377	0.044	0	0.0494	0.0559	0.0956	0.0727
0.0076	0.015	0.026	0.0049	0.0026	0.0494	0	0.016	0.0212	0.0212
0.0274	0.0159	0.0341	0.0143	0.0107	0.0559	0.016	0	0.0337	0.0571
0.0108	0.0136	0.0585	0.0203	0.0209	0.0956	0.0212	0.0337	0	0.0671
0.0295	0.0479	0.0319	0.0239	0.0219	0.0727	0.0212	0.0571	0.0671	0
