0	0.0337	0.0301	0.015	0.0691	0.0461	0.0303	0.0377	0.0437	0.0238
0.0337	0	0.0132	0.0175	0.0406	0.0281	0.0111	0.0207	0.0105	0.0171
0.0301	0.0132	0	0.0124	0.0361	0.0179	0.0135	0.0178	0.0188	0.0133
0.015	0.0175	0.0124	0	0.0447	0.0248	0.0125	0.0218	0.0258	0.0105
0.0691	0.0406	0.0361	0.0447	0	0.0118	0.0397	0.0264	0.039	0.0469
0.0461	0.0281	0.0179	0.0248	0.0118	0	0.0215	0.0187	0.0278	0.0254
0.0303	0.0111	0.0135	0.0125	0.0397	0.0215	0	0.0183	0.012	0.0107
0.0377	0.0207	0.0178	0.0218	0.0264	0.0187	0.0183	0	0.0183	0.0262
0.0437	0.0105	0.0188	0.0258	0.039	0.0278	0.012	0.0183	0	0.0265
0.0238	0.0171	0.0133	0.0105	0.0469	0.0254	0.0107	0.0262	0.0265	0
