0	0.0105	0.0074	0.0152	0.0078	0.0097	0.0045	0.0464	0.0434	0.0351	0.0343	0.0308	0.0256	0.0324	0.0182	0.0159	0.0393	0.031	0.0318	0.035	0.0046	0.0072	0.0077
0.0105	0	0.0057	0.0128	0.006	0.0084	0.007	0.055	0.056	0.0467	0.0487	0.0424	0.0368	0.0433	0.0293	0.0255	0.0541	0.0501	0.0458	0.057	0.0169	0.0144	0.0137
0.0074	0.0057	0	0.014	0.0066	0.0106	0.007	0.0539	0.0513	0.0448	0.044	0.0361	0.0325	0.0368	0.0245	0.0237	0.0557	0.0471	0.0428	0.0531	0.0137	0.0124	0.0139
0.0152	0.0128	0.014	0	0.0079	0.0122	0.0102	0.0486	0.0499	0.0427	0.0402	0.0381	0.0357	0.0404	0.025	0.0235	0.0494	0.0486	0.0441	0.0558	0.0213	0.0111	0.0163
0.0078	0.006	0.0066	0.0079	0	0.0057	0.0052	0.0466	0.0459	0.0412	0.0389	0.0359	0.0316	0.0371	0.0233	0.0184	0.0474	0.0421	0.0382	0.0468	0.0168	0.0135	0.013
0.0097	0.0084	0.0106	0.0122	0.0057	0	0.006	0.0468	0.0491	0.0409	0.0383	0.0368	0.0337	0.0368	0.0233	0.021	0.0413	0.0421	0.0386	0.0449	0.0156	0.0119	0.0143
0.0045	0.007	0.007	0.0102	0.0052	0.006	0	0.0402	0.0374	0.0316	0.0279	0.0257	0.0206	0.0284	0.0158	0.0121	0.0409	0.035	0.0317	0.038	0.0099	0.007	0.0103
0.0464	0.055	0.0539	0.0486	0.0466	0.0468	0.0402	0	0.0266	0.0248	0.0182	0.0226	0.02	0.034	0.0299	0.0373	0.057	0.0583	0.0518	0.0534	0.0538	0.0447	0.05
0.0434	0.056	0.0513	0.0499	0.0459	0.0491	0.0374	0.0266	0	0.0156	0.0065	0.011	0.0172	0.0254	0.0227	0.0305	0.053	0.0501	0.0422	0.0484	0.0465	0.0367	0.044
0.0351	0.0467	0.0448	0.0427	0.0412	0.0409	0.0316	0.0248	0.0156	0	-0.0016	0.0147	0.019	0.035	0.029	0.0297	0.0578	0.057	0.0459	0.0531	0.0455	0.0337	0.0452
0.0343	0.0487	0.044	0.0402	0.0389	0.0383	0.0279	0.0182	0.0065	-0.0016	0	0.0077	0.0106	0.0248	0.0208	0.0293	0.053	0.0526	0.046	0.0443	0.0433	0.0317	0.0418
0.0308	0.0424	0.0361	0.0381	0.0359	0.0368	0.0257	0.0226	0.011	0.0147	0.0077	0	0.0027	0.0164	0.0133	0.0209	0.0488	0.0455	0.0395	0.0389	0.034	0.0248	0.0327
0.0256	0.0368	0.0325	0.0357	0.0316	0.0337	0.0206	0.02	0.0172	0.019	0.0106	0.0027	0	0.0161	0.0133	0.0197	0.0418	0.0426	0.036	0.0343	0.0298	0.0216	0.0293
0.0324	0.0433	0.0368	0.0404	0.0371	0.0368	0.0284	0.034	0.0254	0.035	0.0248	0.0164	0.0161	0	0.0055	0.0233	0.0402	0.0393	0.0366	0.0378	0.0313	0.0269	0.0302
0.0182	0.0293	0.0245	0.025	0.0233	0.0233	0.0158	0.0299	0.0227	0.029	0.0208	0.0133	0.0133	0.0055	0	0.0104	0.0331	0.0308	0.0322	0.0325	0.0207	0.0128	0.0149
0.0159	0.0255	0.0237	0.0235	0.0184	0.021	0.0121	0.0373	0.0305	0.0297	0.0293	0.0209	0.0197	0.0233	0.0104	0	0.0335	0.0329	0.0246	0.0293	0.0209	0.0182	0.0201
0.0393	0.0541	0.0557	0.0494	0.0474	0.0413	0.0409	0.057	0.053	0.0578	0.053	0.0488	0.0418	0.0402	0.0331	0.0335	0	0.0265	0.0237	0.0163	0.039	0.0412	0.0407
0.031	0.0501	0.0471	0.0486	0.0421	0.0421	0.035	0.0583	0.0501	0.057	0.0526	0.0455	0.0426	0.0393	0.0308	0.0329	0.0265	0	0.026	0.0195	0.0316	0.0348	0.0363
0.0318	0.0458	0.0428	0.0441	0.0382	0.0386	0.0317	0.0518	0.0422	0.0459	0.046	0.0395	0.036	0.0366	0.0322	0.0246	0.0237	0.026	0	0.0216	0.0302	0.0305	0.0326
0.035	0.057	0.0531	0.0558	0.0468	0.0449	0.038	0.0534	0.0484	0.0531	0.0443	0.0389	0.0343	0.0378	0.0325	0.0293	0.0163	0.0195	0.0216	0	0.0365	0.0424	0.0461
0.0046	0.0169	0.0137	0.0213	0.0168	0.0156	0.0099	0.0538	0.0465	0.0455	0.0433	0.034	0.0298	0.0313	0.0207	0.0209	0.039	0.0316	0.0302	0.0365	0	0.011	0.0141
0.0072	0.0144	0.0124	0.0111	0.0135	0.0119	0.007	0.0447	0.0367	0.0337	0.0317	0.0248	0.0216	0.0269	0.0128	0.0182	0.0412	0.0348	0.0305	0.0424	0.011	0	0.0113
0.0077	0.0137	0.0139	0.0163	0.013	0.0143	0.0103	0.05	0.044	0.0452	0.0418	0.0327	0.0293	0.0302	0.0149	0.0201	0.0407	0.0363	0.0326	0.0461	0.0141	0.0113	0
