0	0.008	0.0017	0.0087	0.033	0.0182	0.143	0.0512	0.0241	0.0495	0.07	0.0482	0.0036	0.0109
0.008	0	0.0055	0.0153	0.0138	0.0106	0.1627	0.0311	0.0224	0.0667	0.0853	0.0361	0.0131	0.0045
0.0017	0.0055	0	0.014	0.0247	0.0176	0.1454	0.035	0.0186	0.0535	0.0679	0.0377	0.0138	0.0028
0.0087	0.0153	0.014	0	0.0214	0.019	0.1428	0.0197	0.0235	0.0636	0.0654	0.0204	0.0122	0.0177
0.033	0.0138	0.0247	0.0214	0	-0.0017	0.1428	0.012	0.0046	0.0666	0.0669	0.0129	0.0364	0.0261
0.0182	0.0106	0.0176	0.019	-0.0017	0	0.1209	0.0189	0.004	0.0457	0.058	0.0161	0.0251	0.0184
0.143	0.1627	0.1454	0.1428	0.1428	0.1209	0	0.1807	0.1249	0.1097	0.0747	0.1701	0.1596	0.1666
0.0512	0.0311	0.035	0.0197	0.012	0.0189	0.1807	0	0.0178	0.0724	0.0903	0.0004	0.0373	0.0282
0.0241	0.0224	0.0186	0.0235	0.0046	0.004	0.1249	0.0178	0	0.0447	0.0456	0.0167	0.0364	0.0252
0.0495	0.0667	0.0535	0.0636	0.0666	0.0457	0.1097	0.0724	0.0447	0	0.0626	0.0766	0.0813	0.0755
0.07	0.0853	0.0679	0.0654	0.0669	0.058	0.0747	0.0903	0.0456	0.0626	0	0.0773	0.0984	0.0917
0.0482	0.0361	0.0377	0.0204	0.0129	0.0161	0.1701	0.0004	0.0167	0.0766	0.0773	0	0.0387	0.0305
0.0036	0.0131	0.0138	0.0122	0.0364	0.0251	0.1596	0.0373	0.0364	0.0813	0.0984	0.0387	0	0.0076
0.0109	0.0045	0.0028	0.0177	0.0261	0.0184	0.1666	0.0282	0.0252	0.0755	0.0917	0.0305	0.0076	0
