"site","lat","lon"
"1",34.4864,-93.8257
"2",34.4444,-93.7486
"3",34.5037,-93.7244
"4",34.4518,-93.6297
"5",34.5012,-93.9248
"6",34.5284,-93.894
"7",34.526,-93.8543
"8",34.4963,-93.4536
