0	0.027	0.032	0.0222	0.0233	0.0661	0.0199	0.0259	0.0307	0.0225
0.027	0	0.0446	0.0255	0.0244	0.0706	0.0214	0.034	0.0353	0.0206
0.032	0.0446	0	0.0223	0.0265	0.0646	0.0248	0.0266	0.0318	0.027
0.0222	0.0255	0.0223	0	0.0125	0.0518	0.0086	0.0132	0.0233	0.0155
0.0233	0.0244	0.0265	0.0125	0	0.0554	0.0057	0.0133	0.0248	0.0121
0.0661	0.0706	0.0646	0.0518	0.0554	0	0.0504	0.0651	0.0679	0.0688
0.0199	0.0214	0.0248	0.0086	0.0057	0.0504	0	0.0177	0.0198	0.0151
0.0259	0.034	0.0266	0.0132	0.0133	0.0651	0.0177	0	0.0285	0.0234
0.0307	0.0353	0.0318	0.0233	0.0248	0.0679	0.0198	0.0285	0	0.0263
0.0225	0.0206	0.027	0.0155	0.0121	0.0688	0.0151	0.0234	0.0263	0
