0	0.0021	0.0012	0.0131	0.0503	0.0337	0.1399	0.0535	0.0391	0.0753	0.0835	0.0586	0.0103	0.0095
0.0021	0	0.0021	0.0174	0.0516	0.0351	0.1286	0.054	0.0396	0.0763	0.0844	0.064	0.0102	0.0107
0.0012	0.0021	0	0.0156	0.0503	0.0336	0.1303	0.0522	0.0372	0.075	0.0839	0.06	0.0085	0.0079
0.0131	0.0174	0.0156	0	0.036	0.0243	0.1245	0.0356	0.0243	0.0681	0.0795	0.0437	0.0183	0.0188
0.0503	0.0516	0.0503	0.036	0	0.0107	0.1458	0.0191	0.014	0.0686	0.0777	0.016	0.0538	0.0512
0.0337	0.0351	0.0336	0.0243	0.0107	0	0.1234	0.0145	0.0019	0.046	0.0565	0.0203	0.0379	0.036
0.1399	0.1286	0.1303	0.1245	0.1458	0.1234	0	0.1389	0.1191	0.1336	0.1202	0.1494	0.1221	0.1225
0.0535	0.054	0.0522	0.0356	0.0191	0.0145	0.1389	0	0.0151	0.0771	0.0837	0.0209	0.0563	0.0534
0.0391	0.0396	0.0372	0.0243	0.014	0.0019	0.1191	0.0151	0	0.0491	0.0566	0.0206	0.0453	0.0435
0.0753	0.0763	0.075	0.0681	0.0686	0.046	0.1336	0.0771	0.0491	0	0.0757	0.0822	0.0745	0.0738
0.0835	0.0844	0.0839	0.0795	0.0777	0.0565	0.1202	0.0837	0.0566	0.0757	0	0.0884	0.0843	0.0806
0.0586	0.064	0.06	0.0437	0.016	0.0203	0.1494	0.0209	0.0206	0.0822	0.0884	0	0.064	0.0637
0.0103	0.0102	0.0085	0.0183	0.0538	0.0379	0.1221	0.0563	0.0453	0.0745	0.0843	0.064	0	0.0032
0.0095	0.0107	0.0079	0.0188	0.0512	0.036	0.1225	0.0534	0.0435	0.0738	0.0806	0.0637	0.0032	0
