"x","y","Spec_id.x","Study_id","Spec_Latin_GBIF","Spec_Latin_GenDivRange","Genus_GBIF","Family_GBIF","Order_GBIF","Spec_common_EOL","Spec_id.y","Pop_id","Geog_1","Geog_2","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","elev","Ice","Tectonic","SeaLevel","Topography","History","stream_size","elevation","slope"
-88.84021745,44.22631291,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-6","United States of America","Wolf River",81,3.151,NA,NA,NA,NA,NA,NA,0.591,0.626,NA,NA,0.055911,NA,"diploid",234,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,227,0.162326037883759
-88.23664687,44.29003869,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-7","United States of America","Fox River",46,3.117,NA,NA,NA,NA,NA,NA,0.6,0.588,NA,NA,-0.02041,NA,"diploid",207,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,182,1.62297224998474
-85.75691839,43.41893968,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-8","United States of America","Muskegon River",17,3.424,NA,NA,NA,NA,NA,NA,0.651,0.651,NA,NA,0,NA,"diploid",232,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,203,2.30016541481018
-85.87954848,44.27067998,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-9","United States of America","Manistee River",89,3.018,NA,NA,NA,NA,NA,NA,0.541,0.588,NA,NA,0.079932,NA,"diploid",260,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0704584636485614,211,1.77345383167267
-88.70994104,44.11011,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-10","United States of America","Wolf River",30,4.615,NA,NA,NA,NA,NA,NA,NA,0.5368,NA,NA,NA,NA,"diploid",231,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,225,0.477555215358734
-83.13825351,42.11006838,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-15","United States of America","Detroit River",33,4.154,NA,NA,NA,NA,NA,NA,NA,0.5654,NA,NA,NA,NA,"diploid",178,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0158733491562901,174,1.73936585180247e-15
-76.05625951,44.00115722,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-18","United States of America","Black River",11,3.846,NA,NA,NA,NA,NA,NA,NA,0.5404,NA,NA,NA,NA,"diploid",89,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0667236320429082,75,0.369364261627197
-74.77795268,44.97970449,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-19","United States of America","Grasse River",28,3.077,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,"diploid",58,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0667236320429082,46,1.52119171619415
-90.65561712,46.63613186,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-3","United States of America","Bad River",136,4.462,NA,NA,NA,NA,NA,NA,NA,0.5619,NA,NA,NA,NA,"diploid",182,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,183,1.14301188177161e-15
-90.72289676,46.65330545,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-4","United States of America","White River",43,4.231,NA,NA,NA,NA,NA,NA,NA,0.5502,NA,NA,NA,NA,"diploid",182,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,183,0.0863214060664177
