"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",0,0.0060040229543563,0.00232028707069959,0.250611662363417,0.170032585478316,0.0946170651844677,0.094206158674304,0.0999615983764826,0.110316860058776,0.286079506638323,0.135880560190918,0.133581235725613,0.300655016290938,0.261706222608169,0.356551729934238,0.272392829729778,0.222229977632889,0.22167747353641,0.401311649035753,0.420751189179627,0.441132512416457,0.439688116668614,0.401030583305082
"2",0.0060040229543563,0,0.00282754120624075,0.260795910904111,0.182359293270798,0.101783980830178,0.106850157180868,0.107115823312072,0.123192560653579,0.301685169889736,0.145661221180917,0.141958522478484,0.303357510984809,0.264359273729632,0.353809732744981,0.280991886304622,0.229032640367322,0.228747404329021,0.396452613065309,0.420459683657888,0.445014407581548,0.440593742435433,0.410082331963017
"3",0.00232028707069959,0.00282754120624075,0,0.26758370156038,0.187199443068558,0.102455009865407,0.108444280548003,0.108065692957953,0.124252593532769,0.296178346907653,0.146439412680172,0.145263510701951,0.300186844611116,0.262430071775141,0.351323243896138,0.279405097917154,0.230102872147925,0.228274017096633,0.398056837916481,0.423743373507396,0.44342565721242,0.442810661256579,0.407642595188296
"4",0.250611662363417,0.260795910904111,0.26758370156038,0,0.209868956903093,0.207049284818227,0.185745980810243,0.201868422540161,0.166548320980424,0.315231414891509,0.22766260079508,0.216444334294631,0.289546103333381,0.282413536508369,0.384916997623058,0.263273697926567,0.222150655420638,0.241494149565321,0.401482721741586,0.453491777438574,0.335200702818495,0.471778400679741,0.381910568864422
"5",0.170032585478316,0.182359293270798,0.187199443068558,0.209868956903093,0,0.0876900264485713,0.0783585941159043,0.0922937903330636,0.0665616333773433,0.279149934268405,0.130992726656802,0.101997551885697,0.301463154445242,0.275567563045832,0.369136776049332,0.229917890174518,0.208234471495708,0.220146888218261,0.378137405470671,0.396146008827887,0.394338424893745,0.413863989825516,0.36181553774935
"6",0.0946170651844677,0.101783980830178,0.102455009865407,0.207049284818227,0.0876900264485713,0,0.00256252239439181,0.00380001021180842,0.0368577533042889,0.248010224480011,0.0675135818779366,0.0738381237612279,0.268089258517478,0.22450625208421,0.318962751607273,0.189684247262059,0.166456503166612,0.168195856912745,0.338873610653728,0.368707913961964,0.371887406732865,0.389484218606874,0.341692363581299
"7",0.094206158674304,0.106850157180868,0.108444280548003,0.185745980810243,0.0783585941159043,0.00256252239439181,0,0.00236046578777782,0.0229250454030753,0.23613572516733,0.0729034235417134,0.0713547653858147,0.256797063880382,0.214657838295907,0.314941707446359,0.185944338628618,0.165615549414908,0.166797447823021,0.337319321328282,0.360456854445039,0.361527766020332,0.378162838637458,0.332273161181538
"8",0.0999615983764826,0.107115823312072,0.108065692957953,0.201868422540161,0.0922937903330636,0.00380001021180842,0.00236046578777782,0,0.0324642506935134,0.245626998721484,0.0776786504589857,0.0753650728932315,0.264442251324189,0.221333704118275,0.315794025943711,0.193274176455958,0.170366970765057,0.172544010445528,0.332063023519793,0.365684674863863,0.371022962314914,0.385521674963104,0.343393216280744
"9",0.110316860058776,0.123192560653579,0.124252593532769,0.166548320980424,0.0665616333773433,0.0368577533042889,0.0229250454030753,0.0324642506935134,0,0.235146619159717,0.0701640108350297,0.0624715580180432,0.241669528257018,0.209644278438447,0.307187669520894,0.185191006285021,0.158607064745239,0.169416946578381,0.346549379080901,0.377041863351937,0.35120106078029,0.394252584001227,0.329555892491116
"10",0.286079506638323,0.301685169889736,0.296178346907653,0.315231414891509,0.279149934268405,0.248010224480011,0.23613572516733,0.245626998721484,0.235146619159717,0,0.212447807847779,0.226373571587659,0.346814669986085,0.307588700202386,0.411779179932699,0.310665359343718,0.291771539140505,0.294812260459388,0.471559293183444,0.482306114221589,0.516141060692195,0.48736462796466,0.460483936042307
