Etheostoma tuscumbia microsatellite DNA data
Eca10
Eca46
EosC6
EosD11
EosD107
EosC3
Esc26b
POP
           TU33 , 240264 224232 246314 136148 204204 198206 177177 
           TU34 , 240268 216228 238246 148152 204204 206206 177177 
           TU35 , 244272 216216 246254 148148 204204 206214 177185 
           TU36 , 276276 216232 234246 160160 204204 206206 185189 
           TU37 , 244244 216240 234290 148152 204204 206226 173185 
           TU38 , 240276 224232 246250 152152 204204 206210 177185 
           TU39 , 204272 232240 234238 152160 204204 206226 165185 
           TU40 , 272272 216240 234246 148152 204204 198210 169177 
           TU41 , 272300 216248 238250 148148 204204 198206 169177 
           TU42 , 264272 216216 246250 148148 204204 210230 177181 
           TU43 , 264280 220232 246250 148152 204204 206230 177177 
           TU44 , 276292 216232 246246 136152 204204 198206 177177 
           TU45 , 276284 216216 246246 148152 204204 198230 177185 
           TU46 , 240256 216220 246246 152152 204204 206230 165185 
           TU48 , 256272 212216 250250 160160 204204 206206 177185 
           TU49 , 276288 240240 238258 136152 204204 206226 177185 
           TU50 , 280284 216216 234246 148148 204204 206206 177177 
           TU51 , 244252 216240 238250 148148 204204 206210 177185 
           TU52 , 288288 216216 246250 160160 204204 206210 177185 
           TU53 , 240284 220232 238254 148148 204204 210214 169185 
           TU54 , 208268 216224 238238 148148 204204 202202 169185 
           TU55 , 240284 216224 234246 152160 204204 206206 177185 
           TU56 , 256264 216216 246246 136148 204204 206266 177189 
           TU57 , 268276 216216 234238 160160 204204 206214 169177 
POP
           TU74 , 216216 216216 254254 152152 204204 210210 177177 
           TU75 , 216216 216216 254254 152152 204204 210210 177177 
           TU76 , 216216 216216 254254 152152 204204 210210 165177 
           TU77 , 216216 208216 254254 152152 204204 210210 165177 
           TU78 , 212216 216216 254254 152152 204204 210210 165165 
           TU79 , 216216 216216 254254 152152 204204 210210 165165 
           TU80 , 212216 216216 254254 152152 204204 210210 165177 
           TU81 , 216216 208216 254254 152152 204204 210210 165177 
           TU82 , 216216 216216 254254 152152 204204 210210 165165 
           TU83 , 216216 216216 254254 152152 204204 210210 165165 
           TU84 , 216216 208216 254254 152152 204204 210210 165177 
           TU85 , 216216 216216 254254 152152 204204 210214 165177 
           TU86 , 216216 208216 254254 152152 204204 210210 165165 
           TU87 , 216252 216216 254254 152152 204204 210210 177177 
           TU88 , 216216 208208 254254 152152 204204 210210 165165 
           TU89 , 212216 216216 254254 152152 204204 210210 177177 
           TU90 , 216216 216216 254254 152152 204204 210210 165177 
           TU91 , 216236 216216 254254 152152 204204 210210 165177 
           TU92 , 216216 208216 254254 152152 204204 210210 165165 
           TU93 , 216216 208208 254254 152152 204204 210210 165177 
           TU94 , 216216 216216 254254 152152 204204 210210 165165 
           TU95 , 216216 208216 254254 152152 204204 210210 165177 
POP
          TU119 , 244260 212216 246250 140140 204208 218226 173173 
          TU120 , 248248 228228 246246 140140 204204 226226 185185 
          TU121 , 248260 220228 246250 140148 204204 206214 173181 
          TU122 , 244268 220228 246246 148148 204204 214226 173177 
          TU123 , 244264 228228 238250 140148 204204 218226 173177 
          TU124 , 244256 212212 238258 148148 204204 198214 173181 
          TU125 , 256264 212228 246246 140140 204208 206226 173177 
          TU126 , 248252 212228 246246 140148 204208 198226 173173 
          TU127 , 256260 212212 246246 140148 204208 206226 173177 
          TU128 , 244248 228228 246250 140148 204204 198210 181181 
          TU129 , 252252 220228 246250 140148 204204 198238 173173 
          TU130 , 260264 212220 246246 140148 204204 198214 173181 
          TU131 , 248260 212220 246246 140148 204204 226226 173173 
          TU132 , 256260 228228 246250 140140 204208 206218 181181 
          TU133 , 252260 212228 246246 140148 204204 206226 173181 
          TU134 , 260260 220232 246246 140140 204204 218226 173181 
          TU135 , 252260 220228 246250 148148 204204 198206 173181 
          TU136 , 244248 228232 246250 140148 204204 198226 177181 
          TU137 , 248256 228228 246246 140140 204204 214218 177181 
          TU138 , 244248 232232 246250 148148 204208 226226 173181 
          TU139 , 252264 228228 258310 148148 204204 214226 173181 
          TU140 , 244248 228228 246246 140148 204204 226226 173177 
          TU141 , 256260 220228 246258 140140 196204 218218 177177 
          TU142 , 244264 212228 238246 140140 204204 226234 173173 
POP
          TU148 , 244276 220248 246254 148148 204204 198210 177177 
          TU149 , 268284 228228 246250 148148 204204 218226 177189 
          TU150 , 244264 220224 246246 152156 204204 198278 177177 
          TU151 , 248276 216224 246258 148148 204204 214226 169169 
          TU152 , 248276 224228 238246 156156 204204 198234 169177 
          TU153 , 256284 224224 246246 148148 204204 210210 169177 
          TU154 , 236260 220224 246294 148148 204204 226278 173177 
          TU155 , 276284 228232 238338 148156 204204 226226 177177 
          TU156 , 272272 220224 246258 148156 204204 198210 181185 
          TU157 , 236244 228236 250254 148156 196204 226278 169185 
          TU158 , 252264 224224 246246 148164 204204 198226 177177 
          TU159 , 260264 220224 250254 148148 204204 198238 181185 
          TU160 , 248264 228228 246298 148148 204204 226230 173181 
          TU161 , 248288 228232 246246 148148 196204 198234 177181 
          TU162 , 256284 224228 238250 148148 204204 198230 169181 
          TU163 , 268276 224232 246250 148148 204204 202226 173185 
          TU164 , 248284 220228 238246 148148 204204 202210 185185 
          TU165 , 268276 224232 246246 148152 196204 218254 177185 
          TU166 , 248268 208224 238246 148156 204204 198202 177177 
          TU167 , 236264 224228 238246 148148 204204 198214 169173 
          TU168 , 240256 224228 246246 152156 196196 230266 173185 
          TU169 , 252260 208228 254254 156156 204204 198198 173181 
          TU170 , 248276 216216 298306 148156 204204 198198 169181 
          TU171 , 272280 220228 246254 156156 204204 198226 177181 
POP
          TU574 , 244264 208208 246298 156156 204208 198198 173177 
          TU575 , 248272 208216 254258 148152 204208 198230 177177 
          TU576 , 244264 208232 254258 168168 204204 194198 173177 
          TU577 , 244268 208208 246254 168168 204204 194234 177181 
          TU578 , 256276 208220 258298 148156 204204 198230 177177 
          TU579 , 252268 208232 246254 156156 204204 198234 177177 
          TU580 , 252268 208220 254258 168168 204204 198230 177181 
          TU581 , 248268 208228 246246 168168 204204 202230 177177 
          TU582 , 256268 208232 254254 148168 204208 226234 177177 
          TU583 , 268268 216216 254254 168168 204204 198198 177181 
          TU584 , 244248 208220 246254 156156 204204 230234 173181 
          TU585 , 272288 220232 246254 156156 204204 194234 177177 
          TU586 , 248264 208216 246254 148148 204204 198198 177181 
          TU587 , 248268 232232 254258 168168 204204 194230 177181 
          TU588 , 212248 208228 258258 168168 204204 198230 169177 
          TU589 , 244244 216220 246246 168168 204204 194218 177181 
          TU590 , 256264 208232 254262 148168 204208 194198 173177 
          TU591 , 276288 208228 254298 168168 204204 198198 169173 
          TU592 , 244268 208228 246262 148152 196204 194198 177177 
          TU593 , 244272 216232 258258 156156 204204 198230 177177 
POP
          TU272 , 208244 228232 238246 148156 204204 198198 177189 
          TU273 , 208260 220224 246254 156156 196196 198218 169189 
          TU274 , 208208 220224 258302 148156 204204 198198 177185 
          TU275 , 248256 220224 246246 148156 204204 198198 169181 
          TU276 , 208256 224232 246302 148148 204204 198202 169177 
          TU277 , 248248 220224 246258 148148 204204 198218 173177 
          TU278 , 252252 220228 242246 148156 204204 198198 169177 
          TU279 , 244264 220220 246254 148148 204204 198234 169169 
          TU281 , 208272 228236 246258 156156 196204 198198 169177 
          TU282 , 208248 224224 258302 148156 204204 198198 185189 
          TU283 , 208248 220228 250258 148148 204204 198198 173181 
          TU284 , 248260 216232 246250 148156 204204 198238 165181 
          TU285 , 208248 224228 246258 148148 204204 198234 169185 
          TU287 , 208288 224228 254302 148156 204208 202202 169189 
          TU288 , 208244 224236 246246 164164 204204 202202 169181 
          TU289 , 244252 224228 258302 148148 204204 198238 173177 
          TU290 , 244248 224224 246246 148148 204204 198238 169181 
          TU291 , 244248 224224 246302 148148 204204 198214 181181 
          TU292 , 208244 228232 258258 148148 204204 198222 177185 
          TU293 , 208260 224228 246258 148148 204204 198202 169185 
          TU294 , 248288 224232 246258 148148 204208 198198 169185 
          TU295 , 208248 228228 254302 148148 204204 198198 181185 
POP
          TU237 , 260260 220228 238302 148148 204204 198222 177177 
          TU238 , 276284 216228 246246 148148 204204 222222 169177 
          TU239 , 260276 232232 246246 148148 204204 198222 177181 
          TU240 , 268284 220228 246246 148148 204208 218222 185189 
          TU241 , 252260 224228 246246 148148 204204 222222 189189 
          TU242 , 208264 228228 246246 148148 196204 218222 169177 
          TU243 , 256268 220232 246262 148156 204204 198198 177181 
          TU244 , 272276 228228 246246 148148 204204 222222 169177 
          TU245 , 260276 228228 246250 168168 196204 198222 177185 
          TU246 , 248284 216228 238258 148148 204204 222230 177185 
          TU247 , 244248 228232 238246 152156 204208 198222 177189 
