site,site_code,site_name,lat,lon
1,SA,Santuit River,41.62786666666667,-70.45103333333333
2,MA,Mashpee River,41.62166666666667,-70.48038333333334
3,QU,Quashnet River,41.592216666666666,-70.50771666666667
4,RB,Red Brook,41.76525,-70.63391666666666
5,HA,Sandwich Hatchery,41.75265,-70.48968333333333
6,CO,Connetquot River,40.76305,-73.15276666666666
