# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
M05	90	9.62308	0.45244	0.00568	0.81512	0.02071	0.00122	0.27493	0.04643	0.00182	0.72507	0.04643	0.00182	0.25999	0.02569	0.00135	0.74001	0.02569	0.00135	0.27436	0.02863	0.00143	0.01063	0.09331	0.00568
M01	75	9.66313	0.45290	0.00563	0.81965	0.02018	0.00119	0.26020	0.04256	0.00172	0.73980	0.04256	0.00172	0.25529	0.02515	0.00133	0.74471	0.02515	0.00133	0.26932	0.02798	0.00140	0.03284	0.09531	0.00563
M02	51	9.00614	0.46461	0.00609	0.82056	0.02024	0.00127	0.25847	0.04216	0.00183	0.74153	0.04216	0.00183	0.25401	0.02569	0.00143	0.74599	0.02569	0.00143	0.26905	0.02884	0.00152	0.03485	0.09240	0.00609
M03	135	9.43339	0.66549	0.00612	0.82562	0.01925	0.00104	0.25169	0.04017	0.00150	0.74831	0.04017	0.00150	0.24944	0.02381	0.00116	0.75056	0.02381	0.00116	0.26349	0.02653	0.00122	0.04112	0.09661	0.00612
M04	41	8.86000	0.13634	0.00323	0.81899	0.02048	0.00125	0.26477	0.04355	0.00183	0.73523	0.04355	0.00183	0.25552	0.02568	0.00140	0.74448	0.02568	0.00140	0.27085	0.02887	0.00149	0.02314	0.09001	0.00323
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
M05	90	2905370	14019	12504	0.43038	9.71779	0.40215	0.00037	0.99911	0.00026	0.00001	0.00133	0.00059	0.00001	0.99867	0.00059	0.00001	0.00125	0.00045	0.00001	0.99875	0.00045	0.00001	0.00132	0.00050	0.00001	0.00005	0.00045	0.00037
M01	75	2984565	14311	12837	0.43011	9.67788	0.45737	0.00039	0.99914	0.00025	0.00001	0.00125	0.00053	0.00001	0.99875	0.00053	0.00001	0.00122	0.00043	0.00001	0.99878	0.00043	0.00001	0.00129	0.00048	0.00001	0.00016	0.00046	0.00039
M02	51	2603774	12546	11068	0.42508	9.02532	0.43855	0.00041	0.99914	0.00025	0.00001	0.00125	0.00052	0.00001	0.99875	0.00052	0.00001	0.00122	0.00043	0.00001	0.99878	0.00043	0.00001	0.00130	0.00049	0.00001	0.00017	0.00045	0.00041
M03	135	3841223	17776	16349	0.42562	9.41701	0.69663	0.00043	0.99919	0.00023	0.00001	0.00116	0.00048	0.00001	0.99884	0.00048	0.00001	0.00115	0.00040	0.00001	0.99885	0.00040	0.00001	0.00122	0.00044	0.00001	0.00019	0.00045	0.00043
M04	41	2718848	13057	11538	0.42437	8.89063	0.12116	0.00021	0.99913	0.00025	0.00001	0.00127	0.00054	0.00001	0.99873	0.00054	0.00001	0.00123	0.00044	0.00001	0.99877	0.00044	0.00001	0.00130	0.00049	0.00001	0.00011	0.00043	0.00021
