Fish_ID	Cluster_ID	Reach_ID	Sfo_C113a	Sfo_C113b	Sfo_C88a	Sfo_C88b	Sfo_D100a	Sfo_D100b	Sfo_D75a	Sfo_D75b	Sfo_C115a	Sfo_C115b	Sfo_C129a	Sfo_C129b	Sfo_C24a	Sfo_C24b	Ssa_D237a	Ssa_D237b
Ind-558	KentMiddle	K27	132	152	183	183	228	274	181	181	242	358	223	232	116	119	300	433
Ind-559	KentMiddle	K27	132	132	183	183	228	237	197	214	228	358	223	232	116	116	304	433
Ind-560	KentMiddle	K28	132	132	183	186	219	237	181	181	228	346	232	232	113	116	286	416
Ind-561	KentMiddle	K28	128	132	183	183	219	219	176	181	242	242	223	232	116	119	304	433
Ind-562	KentMiddle	K28	132	152	183	183	215	228	176	181	358	358	223	232	119	119	304	304
Ind-563	KentMiddle	K29	128	152	183	183	215	237	176	176	228	228	223	223	116	116	300	433
Ind-564	KentMiddle	K29	132	132	183	186	215	219	193	197	228	246	232	232	116	119	291	433
Ind-565	KentMiddle	K29	132	132	183	183	219	219	176	181	246	312	223	232	116	119	433	433
Ind-566	KentMiddle	K30	128	148	183	183	219	219	181	181	242	358	223	232	119	122	300	300
Ind-567	KentMiddle	K30	132	132	183	183	219	219	181	181	244	312	232	232	116	119	300	433
Ind-568	KentMiddle	K30	132	152	183	183	215	237	181	181	242	358	223	223	113	119	295	300
Ind-569	KentMiddle	K31	128	148	183	183	215	215	181	181	242	358	223	223	116	119	424	433
Ind-570	KentMiddle	K31	132	152	183	183	215	228	181	181	228	228	223	232	116	119	300	416
Ind-571	KentMiddle	K31	132	152	183	183	215	219	176	181	228	242	223	232	116	119	286	291
Ind-572	KentMiddle	K32	132	148	183	183	215	219	197	214	246	358	223	232	119	119	312	441
Ind-573	KentMiddle	K32	132	132	183	183	215	219	176	181	242	242	223	232	116	119	291	300
Ind-574	KentMiddle	K32	132	132	183	183	215	215	181	181	228	242	223	223	116	119	433	433
Ind-575	KentMiddle	K33	148	152	183	183	219	228	176	181	228	308	232	232	116	119	416	433
Ind-576	KentMiddle	K33	132	132	183	183	219	219	181	181	354	358	223	232	116	119	300	416
Ind-577	KentMiddle	K33	132	148	183	186	215	269	181	185	346	358	223	232	116	119	291	416
Ind-578	KentMiddle	K34	148	148	183	183	215	237	176	181	228	312	223	223	116	116	304	429
Ind-579	KentMiddle	K34	128	148	183	183	219	228	176	176	358	358	232	232	116	119	300	433
Ind-580	KentMiddle	K34	128	132	183	183	215	219	181	181	242	356	223	232	116	119	416	424
Ind-581	KentMiddle	K35	132	148	183	183	219	228	181	214	228	358	232	232	119	119	300	433
Ind-582	KentMiddle	K35	132	152	183	183	219	241	181	181	246	312	232	232	116	119	295	433
