WKT,site,lat,lon
"POINT (-104.279166 33.935305)",Willow Creek,33.935305,-104.279166
"POINT (-104.2895 33.857)",Six Mile Draw,33.857,-104.2895
"POINT (-104.2995 33.792)",Crockett Draw,33.792,-104.2995
"POINT (-104.3095 33.744)",Bosque Draw,33.744,-104.3095
"POINT (-104.373926 33.571855)",US Hwy 70,33.571855,-104.373926
"POINT (-104.398837 33.397026)",US Hwy 380,33.397026,-104.398837
"POINT (-104.356471 33.282117)",BLM ACEC,33.282117,-104.356471
