GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
WS_TMC13,Twentymile Creek #13,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.059266 -119.961468,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_TMC14,Twentymile Creek #14,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.059266 -119.961468,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_TMC15,Twentymile Creek #15,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.059266 -119.961468,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC1,Honey Creek #1,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.419076 -119.905176,8/19/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC2,Honey Creek #2,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.419076 -119.905176,8/20/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC3,Honey Creek #3,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.419076 -119.905176,8/21/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC4,Honey Creek #4,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.419076 -119.905176,8/22/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC5,Honey Creek #5,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.422462 -119.919687,8/23/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC6,Honey Creek #6,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.418956 -119.911747,8/24/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_HC7,Honey Creek #7,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.418956 -119.911747,8/25/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
