GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
934-009,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-010,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-011,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-012,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
934-013,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
945-006,,,Catostomus occidentalis,Catostomus,occidentalis,occidentalis,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Ash Creek: Ash Valley,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
945-007,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Goose Lake: Dent,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
945-008,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Goose Lake: Dent,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
945-009,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Goose Lake: Dent,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
945-010,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Goose Lake: Dent,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-008,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Goose Lake: Dent,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-009,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-010,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-011,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-012,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-013,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-014,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-015,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-016,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-017,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-058,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Turner Creek: Garden Gulch,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-059,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-060,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-061,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-062,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-063,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-064,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-065,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-066,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1208-067,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-011,,,Catostomus microps,Catostomus,microps,,Rutter 1908,Modoc Sucker,"Upper Pit, CA & OR",Ash Creek: Johnson,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-012,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-013,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-014,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-015,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-016,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-017,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-018,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-019,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
1272-020,,,Catostomus occidentalis,Catostomus,occidentalis,lacuanserinus,Ayres 1854,Sacremento Sucker,"Upper Pit, CA & OR",Cottonwood,,"Christain Smith, FWS",SacSucker_modocSucker_NoCA_FWS_2020,,
OSKR_1,1,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"South Fork, Bishop, CA",,7/26/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 375501, 4136678",
OSKR_2,2,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"South Fork, Bishop, CA",,7/26/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 375501, 4136678",
OSKR_3,3,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_4,4,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_5,5,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_6,6,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_7,7,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_8,8,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_9,9,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_10,10,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_11,11,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_12,12,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_13,13,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_14,14,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_15,15,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_16,16,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_17,17,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Rock Creek, Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 359769, 4146085",
OSKR_18,18,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Horton Creek,  Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 369786, 4140172",
OSKR_19,19,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Horton Creek,  Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 369786, 4140172",
OSKR_20,20,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Horton Creek,  Bishop, CA",,7/27/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 369786, 4140172",
OSKR_21,21,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_22,22,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_23,23,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_24,24,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_25,25,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_26,26,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_27,27,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_28,28,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_29,29,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_30,30,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_31,31,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_32,32,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_33,33,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_34,34,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_35,35,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_36,36,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_37,37,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_38,38,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_39,39,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_40,40,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_41,41,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Hot Creek, Bishop, CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 342942, 4174784",
OSKR_42,42,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Horton Creek, Bishop,CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 365389, 4140359",
OSKR_43,43,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Horton Creek, Bishop,CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 365389, 4140360",
OSKR_44,44,,Catostomus fumeiventris,Catostomus,fumeiventris,,Miller 1973,Owens Sucker,"Lower Horton Creek, Bishop,CA",,7/28/21,"Rosa Cox, CDFW",Owens_Sucker_Bishop_2021,"Easting and Northing: 365389, 4140361",
MS_PC_01,Sucker_1,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,CMHP1231,
MS_PC_02,Sucker_2,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,CMHP1238,
MS_PC_03,Sucker_3,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,CMHP1241,
MS_PC_04,Sucker_4,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_05,Sucker_5,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,CMHP1323,
MS_PC_06,Sucker_6,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,CMHP1617,
MS_PC_07,1,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_08,2,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_09,3,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_10,4,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_11,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_12,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_13,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_14,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_15,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_16,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_17,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_18,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_19,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_20,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
MS_PC_21,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Poore Creek, CA",,6/29/21,"Rosa Cox, CDFW",Mountain_Tahoe_Sukers_Poore_Creek_2021,,
KLS_2802-095,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2801-023,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2802-097,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-002,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-004,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-005,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-006,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-008,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-011,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-012,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-013,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
KLS_2804-015,,,Catostomus snyderi,Catostomus,snyderi,,Gilbert 1898,Klamath Largescale Sucker,"Klamath basin, OR",,,"Christain Smith, FWS",Klamath_Suckers_Klamath_Basin_OR_2021,,
