Chain #2
Seed for random number generator: 2 51 43 1 13

Acceptance rates for chain #2 (%)
ptild: 30.9383
theta: 31.9612
p: 29.5597
F: 35.9949
Mt: 11.6287
nm: 28.5171
m: 48.5857

Migration rates
Into/From	1	2	3	4
28	0	0

In population 2
At locus 1
1	0.652113	0.0533581
2	0.147504	0.0432933
3	0.0382449	0.0229568
4	0.00175672	0.00322742
5	0.0493777	0.0293415
6	0.00204682	0.00376627
7	0.0463625	0.024282
8	0.0029942	0.00496244
9	0.0250656	0.0168545
10	0.0180127	0.0152436
11	0.0119142	0.0127802
12	0.00174658	0.00337089
13	0.00128069	0.0027319
14	0.00157971	0.00313788
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.440145	0.0594286
2	0.307688	0.0601528
3	0.0024889	0.004115
4	0.0251999	0.0182079
5	0.150377	0.0440165
6	0.00278359	0.00458166
7	0.00235088	0.00415979
8	0.0198987	0.0157986
9	0.00989821	0.0109797
10	0.00268237	0.0044725
11	0.00981158	0.00947569
12	0.00416844	0.00601545
13	0.00766699	0.00810718
14	0.00346372	0.00521718
15	0.00880831	0.00819744
16	0.00256893	0.00398565
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0599152	0.0261612
2	0.353579	0.0657757
3	0.147011	0.0430851
4	0.00747462	0.00911339
5	0.0257086	0.016484
6	0.00230889	0.00418213
7	0.00164002	0.00318912
8	0.162104	0.043979
9	0.0848004	0.0289357
10	0.0364861	0.0160198
11	0.00361393	0.00547466
12	0.0133539	0.0127939
13	0.0771075	0.0366406
14	0.00363186	0.00593421
15	0.00504598	0.00663226
16	0.0127101	0.0132971
17	0.00180936	0.00346688
18	0.00169988	0.00323926
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.0337305	0.0239168
2	0.0323309	0.0234286
3	0.0496843	0.025746
4	0.0420327	0.0250592
5	0.00671721	0.00764419
6	0.0228671	0.0170568
7	0.114234	0.0399189
8	0.0143961	0.0138956
9	0.0434581	0.0247688
10	0.0748127	0.0235624
11	0.0189671	0.013293
12	0.0815077	0.0340597
13	0.104894	0.0366248
14	0.015602	0.0142586
15	0.0594199	0.0288661
16	0.030226	0.0217359
17	0.00372793	0.00596717
18	0.00492373	0.00632513
19	0.12983	0.0353439
20	0.0237504	0.0186033
21	0.0210894	0.015905
22	0.0255467	0.0148214
23	0.00181642	0.00330011
24	0.00978107	0.0111788
25	0.0216663	0.0181523
26	0.00916964	0.010755
27	0.00236363	0.00420283
28	0.00145428	0.00293036
At locus 5
1	0.0202593	0.0181576
2	0.0751712	0.0246674
3	0.0393208	0.0220382
4	0.116151	0.0413574
5	0.110686	0.0420906
6	0.12098	0.0367343
7	0.0677323	0.0314816
8	0.0692168	0.0306137
9	0.131784	0.0396117
10	0.143239	0.0397175
11	0.0757417	0.0317029
12	0.0120802	0.011362
13	0.0176373	0.0144882
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.163579	0.0395887
2	0.0396969	0.0216038
3	0.211422	0.04958
4	0.0372499	0.0228754
5	0.0593808	0.0338495
6	0.0566791	0.0251405
7	0.0511458	0.0301813
8	0.145537	0.0397255
9	0.0561601	0.027278
10	0.0301767	0.0251525
11	0.0735959	0.023198
12	0.0427021	0.021231
13	0.0298045	0.0218716
14	0.0016728	0.00305184
15	0.00119833	0.00261091
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0167129	0.0156388
2	0.0334035	0.0207973
3	0.342786	0.0610959
4	0.0990154	0.0374895
