Chain #7
Seed for random number generator: 7 51 43 1 13

Acceptance rates for chain #7 (%)
ptild: 28.8577
theta: 27.0689
p: 28.9949
F: 38.9201
Mt: 14.9907
nm: 37.7001
m: 43.7319

Migration rates
Into/From	1	2	3	4
2	0.171254	0.0461886
3	0.0539417	0.028495
4	0.00137077	0.00291752
5	0.0654585	0.0334771
6	0.00161703	0.00325292
7	0.0450324	0.0245134
8	0.00188536	0.00364817
9	0.015682	0.0136285
10	0.0118453	0.0124589
11	0.0157609	0.0157566
12	0.0013005	0.00276254
13	0.00122747	0.00259196
14	0.00120091	0.00256471
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.399465	0.0845886
2	0.338167	0.0766431
3	0.00228575	0.00390936
4	0.0415641	0.0248735
5	0.127497	0.0446204
6	0.00181927	0.00354784
7	0.00154533	0.00326042
8	0.0291834	0.0183181
9	0.025787	0.0260522
10	0.00409495	0.00595768
11	0.00690443	0.00781854
12	0.00493635	0.00725283
13	0.00620209	0.00726548
14	0.00226162	0.0041089
15	0.00563853	0.0067927
16	0.00264861	0.00430112
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0358331	0.0246617
2	0.376175	0.0692923
3	0.162898	0.0617749
4	0.00700148	0.00846542
5	0.0200139	0.0161934
6	0.00243703	0.00415428
7	0.0013827	0.00288167
8	0.186544	0.0589953
9	0.0592454	0.030012
10	0.0262841	0.0178366
11	0.00288765	0.00452579
12	0.016252	0.0146159
13	0.0829922	0.0407122
14	0.00263195	0.00452515
15	0.0047499	0.00623436
16	0.0087449	0.0108389
17	0.00150117	0.00313833
18	0.0024254	0.00434289
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.0375042	0.0302613
2	0.0341652	0.0255086
3	0.0609435	0.0384103
4	0.0398011	0.0265759
5	0.00562846	0.00702664
6	0.0325512	0.0249972
7	0.0911564	0.0379704
8	0.0165107	0.0159088
9	0.0411652	0.0262395
10	0.0447479	0.0294383
11	0.0145083	0.0120872
12	0.102506	0.0418335
13	0.0916029	0.0402351
14	0.0251182	0.0197794
15	0.0613056	0.0300496
16	0.0553191	0.0286096
17	0.00303634	0.00505761
18	0.00348369	0.00525892
19	0.113706	0.0492696
20	0.0405213	0.0271169
21	0.0247975	0.017009
22	0.0127309	0.0131965
23	0.00175578	0.00321198
24	0.00619101	0.00998944
25	0.0228905	0.0169705
26	0.0114197	0.0114944
27	0.00377569	0.00585109
28	0.00115762	0.00263924
At locus 5
1	0.0247801	0.0232536
2	0.047244	0.0278469
3	0.0281273	0.020027
4	0.129946	0.0444119
5	0.172198	0.058801
6	0.127497	0.0422804
7	0.0576653	0.0304972
8	0.0595938	0.0280023
9	0.137213	0.0422985
10	0.11761	0.0432066
11	0.0756053	0.032257
12	0.00829184	0.00868063
13	0.0142278	0.0129867
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.137729	0.0412695
2	0.0282572	0.0204048
3	0.226991	0.0564688
4	0.0342655	0.0236767
5	0.0753004	0.0374187
6	0.0527953	0.0281412
7	0.0718533	0.0466586
8	0.12787	0.0408227
9	0.0519985	0.0289725
10	0.0426719	0.0323797
11	0.0513828	0.0285656
12	0.044174	0.0247327
13	0.0508581	0.0296604
14	0.00141455	0.00275937
15	0.00243844	0.00420613
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0195482	0.0166459
2	0.0180209	0.018323
3	0.358914	0.0891689
4	0.117754	0.0406022
5	0.0413846	0.0250748
6	0.00116011	0.00250048
7	0.00138677	0.00284957
8	0.0135187	0.0150246
9	0.00503486	0.00695061
10	0.0291057	0.0226316
11	0.0723566	0.0367238
12	0.147665	0.047801
13	0.0174578	0.0143458
14	0.0201391	0.0146232
15	0.0248707	0.0302856
16	0.0665723	0.0311976
17	0.00985407	0.0122537
18	0.0104266	0.0110045
19	0.00871518	0.00944927
20	0.0109722	0.00964502
21	0.00139439	0.00298462
22	0.00123144	0.00271027
23	0.000957371	0.00242822
24	0.00155923	0.0032895
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.130895	0.044672
2	0.0767264	0.0382837
