iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-6093.21	-8304.34	-60.9643	7.16704	2294.25	-29.3194
1000200	-6120.17	-8269.72	-70.472	7.16704	2239.42	-26.5716
1000300	-6048.85	-8241.54	-58.0742	7.16704	2268.79	-25.191
1000400	-6044.56	-8246.17	-60.2665	7.16704	2281.61	-26.9005
1000500	-6041.82	-8237.56	-57.9928	7.16704	2273.06	-26.4943
1000600	-6079.06	-8236.83	-64.3582	7.16704	2240.24	-25.2747
1000700	-6042.36	-8259.96	-62.5421	7.16704	2298.12	-25.1482
1000800	-6022.28	-8254.46	-55.4986	7.16704	2307.3	-26.7935
1000900	-5974.99	-8217.08	-63.9984	7.16704	2324.05	-25.1391
1001000	-5925.17	-8217.63	-60.027	7.16704	2371.28	-25.9629
1001100	-5954.73	-8236.73	-57.5331	7.16704	2358.87	-26.5081
1001200	-5984.8	-8230.91	-63.245	7.16704	2328.96	-26.777
1001300	-6002.59	-8224.2	-64.6558	7.16704	2305.69	-26.5833
1001400	-5989.89	-8224.03	-55.5734	7.16704	2310.79	-28.2473
1001500	-6009.4	-8253.23	-49.0185	7.16704	2313.77	-28.0905
1001600	-6026.06	-8254.66	-59.4967	7.16704	2309.09	-28.1644
1001700	-6036.44	-8280.56	-52.3994	7.16704	2319.01	-29.658
1001800	-6009.53	-8225.25	-63.5365	7.16704	2301.3	-29.213
1001900	-5986.32	-8264.86	-55.4197	7.16704	2355.93	-29.1442
1002000	-6041.4	-8271.75	-53.0593	7.16704	2303.51	-27.2655
1002100	-6019.24	-8250.72	-62.6552	7.16704	2314.25	-27.2704
1002200	-6040.16	-8255.68	-58.4928	7.16704	2293.53	-26.6902
1002300	-6036.06	-8260.82	-71.1794	7.16704	2315.58	-26.8064
1002400	-5989.14	-8262.2	-65.5883	7.16704	2359.7	-28.2187
1002500	-6009.82	-8272.76	-73.1399	7.16704	2357.64	-28.7311
1002600	-6014.46	-8246.08	-49.8004	7.16704	2303.26	-29.0007
1002700	-6048.43	-8266.53	-61.9723	7.16704	2301.78	-28.8718
1002800	-6040.61	-8268.64	-60.6176	7.16704	2310.91	-29.4363
1002900	-6019.41	-8278.72	-64.5052	7.16704	2345.74	-29.0929
1003000	-6022.52	-8297.48	-63.5877	7.16704	2360.54	-29.1633
1003100	-6033.42	-8290.99	-61.2119	7.16704	2343.52	-31.9008
1003200	-6030.99	-8288.94	-51.6989	7.16704	2333.33	-30.8534
1003300	-6037.59	-8249.06	-63.861	7.16704	2296.41	-28.2474
1003400	-6007.88	-8266.69	-59.7332	7.16704	2341.25	-29.8754
1003500	-5985.14	-8244.62	-53.7812	7.16704	2333.9	-27.8035
1003600	-6001.57	-8246	-56.3256	7.16704	2320.25	-26.6672
1003700	-5965.68	-8216.71	-55.8956	7.16704	2327.83	-28.0788
1003800	-6044.3	-8264.13	-72.8544	7.16704	2310.78	-25.2672
1003900	-6037.7	-8208.17	-73.7833	7.16704	2262.62	-25.5399
1004000	-6048.54	-8229.16	-61.1455	7.16704	2258.7	-24.1045
1004100	-6056.28	-8244.4	-64.5733	7.16704	2271	-25.4681
1004200	-5957.92	-8196.93	-53.2441	7.16704	2311.79	-26.6967
1004300	-6019.43	-8236.43	-55.5813	7.16704	2291.79	-26.3656
1004400	-5992.23	-8216.23	-52.4072	7.16704	2294.5	-25.2558
1004500	-6010.79	-8227.78	-54.835	7.16704	2290.36	-25.7045
1004600	-5978.31	-8193.98	-64.1281	7.16704	2297.3	-24.6689
1004700	-6017.15	-8215.39	-59.2588	7.16704	2276.08	-25.7542
1004800	-6040.03	-8235.49	-62.4324	7.16704	2276.3	-25.581
1004900	-6020.19	-8227.68	-68.36	7.16704	2295.68	-27.0032
1005000	-6017.8	-8225.58	-60.4893	7.16704	2288.71	-27.6039
1005100	-6005.01	-8221.17	-56.4686	7.16704	2291.96	-26.4944
1005200	-6025.44	-8265.5	-63.5641	7.16704	2324.11	-27.6562
1005300	-5977.46	-8224.7	-59.1049	7.16704	2327.26	-28.0846
1005400	-6025.85	-8253.28	-58.1348	7.16704	2306.1	-27.6946
1005500	-5982.98	-8232.94	-65.3379	7.16704	2335.91	-27.7836
1005600	-5989.76	-8261.8	-60.3213	7.16704	2353.75	-28.5577
