iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-6224.2	-8319.96	-62.8608	7.16704	2182.41	-30.9601
1000200	-6229.58	-8311.82	-67.8741	7.16704	2175.11	-32.1658
1000300	-6221.06	-8300.55	-56.2076	7.16704	2160.98	-32.4497
1000400	-6169.82	-8251.04	-65.8466	7.16704	2170.3	-30.3976
1000500	-6231.62	-8297.4	-62.2999	7.16704	2150.5	-29.5952
1000600	-6267.89	-8290.55	-60.6124	7.16704	2102.31	-26.1994
1000700	-6223.81	-8265.22	-66.71	7.16704	2128.2	-27.246
1000800	-6183.71	-8260.36	-73.6096	7.16704	2171.52	-28.4267
1000900	-6214.56	-8287.22	-72.2322	7.16704	2168.1	-30.3771
1001000	-6142.4	-8254.1	-68.1656	7.16704	2203.89	-31.1902
1001100	-6146.49	-8243.04	-62.5685	7.16704	2180.65	-28.6952
1001200	-6142.21	-8247.55	-55.7776	7.16704	2180.69	-26.7281
1001300	-6112.21	-8238.62	-62.8746	7.16704	2208.24	-26.1234
1001400	-6152.94	-8245.98	-54.2671	7.16704	2167.49	-27.3517
1001500	-6206.56	-8309.49	-62.861	7.16704	2187.16	-28.5389
1001600	-6198.36	-8309.19	-65.27	7.16704	2197.92	-28.9948
1001700	-6168.47	-8267.33	-65.3779	7.16704	2183.3	-26.2326
1001800	-6150.79	-8254.98	-63.1891	7.16704	2188.7	-28.4905
1001900	-6188.6	-8267.14	-64.6425	7.16704	2162.65	-26.6404
1002000	-6159.13	-8245.03	-70.4779	7.16704	2174.8	-25.5887
1002100	-6141.49	-8233.45	-69.5504	7.16704	2182.24	-27.9001
1002200	-6159.5	-8218.37	-67.0247	7.16704	2145.44	-26.7129
1002300	-6129.37	-8185.69	-60.9712	7.16704	2135.11	-24.9891
1002400	-6143.53	-8199.01	-62.6593	7.16704	2135.33	-24.3561
1002500	-6226.9	-8218.82	-62.7661	7.16704	2072.19	-24.6665
1002600	-6190.24	-8255.59	-71.8585	7.16704	2156.99	-26.9541
1002700	-6189.4	-8242	-65.587	7.16704	2136.93	-25.9028
1002800	-6131.02	-8223.8	-61.2647	7.16704	2173.62	-26.7334
1002900	-6115.24	-8227.8	-60.1986	7.16704	2194.3	-28.7056
1003000	-6129.4	-8247.81	-47.4227	7.16704	2185.92	-27.2547
1003100	-6165.62	-8229.78	-70.8999	7.16704	2154.83	-26.9399
1003200	-6171.03	-8258.78	-72.3395	7.16704	2179.02	-26.0937
1003300	-6188.95	-8221.2	-70.8813	7.16704	2122.13	-26.171
1003400	-6236.61	-8258.04	-63.5375	7.16704	2102.59	-24.7821
1003500	-6229.6	-8249.64	-65.1076	7.16704	2104.93	-26.9553
1003600	-6222.33	-8242.74	-62.5496	7.16704	2101.21	-25.4198
1003700	-6268.85	-8275.43	-68.9811	7.16704	2096.36	-27.9644
1003800	-6236.71	-8272.88	-61.4347	7.16704	2117.23	-26.796
1003900	-6288.1	-8317.43	-67.9262	7.16704	2117.36	-27.2644
1004000	-6236.53	-8292.32	-67.3383	7.16704	2140.95	-24.9965
1004100	-6220.43	-8259.37	-59.5748	7.16704	2118.27	-26.9304
1004200	-6196.95	-8260.94	-68.9786	7.16704	2151.72	-25.9157
1004300	-6200.3	-8241.61	-65.016	7.16704	2125.09	-25.9339
1004400	-6196.06	-8255.96	-75.9082	7.16704	2154.65	-26.0092
1004500	-6173.84	-8242.87	-78.2106	7.16704	2165.1	-25.0223
1004600	-6124.96	-8226.87	-77.551	7.16704	2199.08	-26.7847
1004700	-6178.61	-8230.4	-74.9954	7.16704	2145.15	-25.535
1004800	-6167.67	-8235.62	-74.4968	7.16704	2160.05	-24.7615
1004900	-6165.52	-8259.24	-64.8103	7.16704	2178.75	-27.3863
1005000	-6137.44	-8252.72	-69.4156	7.16704	2205.61	-28.0822
1005100	-6153.53	-8236.4	-60.0055	7.16704	2161.11	-25.4088
1005200	-6168.03	-8237.28	-63.1198	7.16704	2150.69	-25.4835
1005300	-6137.11	-8256.44	-62.5595	7.16704	2202.24	-27.5186
1005400	-6202.49	-8281.95	-74.4508	7.16704	2172.61	-25.868
1005500	-6186.38	-8221.04	-71.4818	7.16704	2123.43	-24.4582
1005600	-6217.43	-8277.45	-66.5035	7.16704	2144.94	-25.5812
1005700	-6153.48	-8234.81	-69.1306	7.16704	2167.93	-24.643
1005800	-6177.42	-8265.52	-61.2188	7.16704	2166.25	-24.0953
1005900	-6196.26	-8264.18	-56.1927	7.16704	2140.81	-23.8687
1006000	-6187.04	-8256.87	-68.9804	7.16704	2156.62	-24.9756
1006100	-6151.97	-8225.48	-81.2801	7.16704	2173.03	-25.4093
1006200	-6133.05	-8261.01	-72.2281	7.16704	2222.67	-29.6568
1006300	-6101.83	-8245.32	-69.5113	7.16704	2236.92	-31.0875
1006400	-6128.73	-8271.95	-62.7516	7.16704	2231.32	-32.5118
1006500	-6170.83	-8277.21	-68.7745	7.16704	2199.65	-31.6525
1006600	-6202.12	-8279.85	-74.4377	7.16704	2176.52	-31.527
1006700	-6199.75	-8285.12	-85.1534	7.16704	2193.51	-30.1595
1006800	-6199.74	-8249.17	-74.3429	7.16704	2142.7	-26.1005
1006900	-6204.85	-8237.76	-75.234	7.16704	2127.4	-26.4291
1007000	-6179.82	-8223.9	-70.3286	7.16704	2132.21	-24.9764
1007100	-6173.59	-8225.13	-71.9239	7.16704	2141.71	-25.4146
1007200	-6230.01	-8287.14	-61.2149	7.16704	2139.17	-27.9911
1007300	-6172.49	-8213.33	-73.826	7.16704	2134.36	-26.858
1007400	-6196.71	-8248.53	-60.695	7.16704	2130	-24.6481
1007500	-6175.38	-8261.42	-61.691	7.16704	2166.25	-25.6801
1007600	-6125.87	-8254.68	-57.1039	7.16704	2206.78	-28.022
1007700	-6130.97	-8244.15	-63.7253	7.16704	2199.05	-29.3174
1007800	-6163.1	-8290.76	-65.688	7.16704	2214.1	-27.9261
1007900	-6138.98	-8265.23	-56.8437	7.16704	2201.65	-25.7306
1008000	-6106.84	-8224.73	-63.654	7.16704	2200.76	-26.3816
1008100	-6084.36	-8203.77	-63.1157	7.16704	2200.32	-24.9649
1008200	-6084.13	-8205	-61.5949	7.16704	2201.21	-25.907
1008300	-6107.1	-8216.41	-71.7147	7.16704	2201.3	-27.4471
1008400	-6072.88	-8211.51	-65.5121	7.16704	2223.89	-26.9189
