iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1008300	-6103.22	-8304.77	-48.2499	7.16704	2270.6	-27.9678
1008400	-6080.14	-8265.4	-50.4075	7.16704	2254.94	-26.4388
1008500	-6098.67	-8261.07	-56.7759	7.16704	2237.76	-25.7489
1008600	-6135.65	-8308.34	-51.9398	7.16704	2243.51	-26.0562
1008700	-6120.2	-8285.95	-47.2276	7.16704	2232.75	-26.9351
1008800	-6128.63	-8282.14	-51.9934	7.16704	2224.19	-25.8527
1008900	-6131.84	-8288.05	-43.7128	7.16704	2218.47	-25.7134
1009000	-6155.2	-8312.27	-55.4017	7.16704	2232.4	-27.0872
1009100	-6080.27	-8293.28	-52.5725	7.16704	2286.08	-27.6583
1009200	-6075.35	-8261.18	-48.058	7.16704	2251.92	-25.2066
1009300	-6058.27	-8265.84	-43.2092	7.16704	2268.17	-24.561
1009400	-6054.03	-8238.71	-51.436	7.16704	2252.47	-23.5245
1009500	-6034.69	-8231.07	-45.6957	7.16704	2259.79	-24.8778
1009600	-6067.33	-8243.53	-48.9596	7.16704	2242.93	-24.9407
1009700	-6066.11	-8262.17	-49.1669	7.16704	2260.39	-22.3338
1009800	-6057.86	-8259.43	-45.1697	7.16704	2263.09	-23.514
1009900	-6082.74	-8290.6	-43.4041	7.16704	2267.26	-23.1633
1010000	-6088.36	-8251.9	-55.3089	7.16704	2235.18	-23.5026
1010100	-6100.48	-8289.08	-52.3292	7.16704	2258.29	-24.538
1010200	-6089.09	-8308.77	-53.1554	7.16704	2291.69	-26.0191
1010300	-6086.18	-8315.05	-55.2529	7.16704	2302.7	-25.7422
1010400	-6044.06	-8300.98	-50.2013	7.16704	2326.89	-26.9234
1010500	-6060.86	-8289.59	-52.392	7.16704	2301.82	-27.8679
1010600	-6097.72	-8309.13	-50.8247	7.16704	2282.11	-27.0376
1010700	-6129.01	-8316.15	-48.9706	7.16704	2255.84	-26.885
