"study_code","fst","lon1","lat1","lon2","lat2","site_id1","site_id2","distance_km"
"SACO-4",0.0630815948003684,-117.722,45.615,-117.983,45.543,4,3,21.8583709127922
"SACO-4",0.259821628961816,-117.531,45.478,-117.983,45.543,5,3,35.9953700052574
"SACO-4",0.201334887307997,-117.865,45.39,-117.983,45.543,6,3,19.3637105434925
"SACO-4",0.113754524029833,-117.66,45.448,-117.983,45.543,7,3,27.332772956631
"SACO-4",0.156905510693054,-117.399,45.293,-117.983,45.543,8,3,53.4493662821666
"SACO-4",0.521647099609563,-117.308,45.248,-117.983,45.543,9,3,62.1487034550319
"SACO-4",0.276996477616575,-117.584,45.334,-117.983,45.543,10,3,38.8922044553745
"SACO-4",0.190087478828976,-117.684,45.255,-117.983,45.543,11,3,39.674353029062
"SACO-4",0.289950469945446,-117.356,45.214,-117.983,45.543,12,3,61.1958974770172
"SACO-4",0.415020586453211,-118.17,44.995,-117.983,45.543,13,3,62.7375734687111
"SACO-4",0.487233880411548,-118.236,44.988,-117.983,45.543,14,3,64.8842594794568
"SACO-4",0.323251394743351,-118.197,44.972,-117.983,45.543,15,3,65.7381331919674
"SACO-4",0.162467081552279,-116.959,45.178,-117.983,45.543,16,3,89.8108592559692
"SACO-4",0.231969661996796,-116.77,44.992,-117.983,45.543,17,3,113.107374422632
"SACO-4",0.292183311092038,-116.748,44.97,-117.983,45.543,18,3,115.904558542016
"SACO-4",0.210598313005773,-116.809,44.864,-117.983,45.543,19,3,119.129505018089
"SACO-4",0.22784341619871,-116.875,44.919,-117.983,45.543,20,3,111.220625044955
"SACO-4",0.407743628033093,-116.937,44.981,-117.983,45.543,21,3,103.105751493839
"SACO-4",0.367689273096973,-116.817,44.903,-117.983,45.543,22,3,115.90312718284
"SACO-4",0.327318611998294,-116.891,44.833,-117.983,45.543,23,3,116.560578446414
"SACO-4",0.265710218325384,-116.932,44.97,-117.983,45.543,24,3,104.169011112816
"SACO-4",0.571396897843693,-116.773,44.848,-117.983,45.543,25,3,122.452943981911
"SACO-4",0.191305038338867,-116.342,44.886,-117.983,45.543,26,3,148.013189563395
"SACO-4",0.354877041487764,-114.849,45.071,-117.983,45.543,27,3,250.911551489818
"SACO-4",0.442143310290948,-114.744,44.353,-117.983,45.543,28,3,287.491713506381
"SACO-4",0.435860099602955,-116.548,45.015,-117.983,45.543,29,3,126.841373409872
"SACO-4",0.424942381936884,-116.515,44.934,-117.983,45.543,30,3,133.553346033071
"SACO-4",0.486778706297877,-116.456,45.008,-117.983,45.543,31,3,133.620920646836
"SACO-4",0.415326815642962,-116.404,44.852,-117.983,45.543,32,3,145.79909430067
"SACO-4",0.208669737991111,-117.531,45.478,-117.722,45.615,5,4,21.3145617099298
"SACO-4",0.150186994519969,-117.865,45.39,-117.722,45.615,6,4,27.4194413761429
"SACO-4",0.0797264680845606,-117.66,45.448,-117.722,45.615,7,4,19.208770169218
"SACO-4",0.0789801418039972,-117.399,45.293,-117.722,45.615,8,4,43.8295287182552
"SACO-4",0.453706709160764,-117.308,45.248,-117.722,45.615,9,4,52.1059510683496
"SACO-4",0.197626967905484,-117.584,45.334,-117.722,45.615,10,4,33.0836607465673
"SACO-4",0.14675925972252,-117.684,45.255,-117.722,45.615,11,4,40.1847986002366
"SACO-4",0.146298517963186,-117.356,45.214,-117.722,45.615,12,4,53.0152841022711
"SACO-4",0.335689581261974,-118.17,44.995,-117.722,45.615,13,4,77.419438888974
"SACO-4",0.380320760195056,-118.236,44.988,-117.722,45.615,14,4,80.5687869631968
"SACO-4",0.249294188338888,-118.197,44.972,-117.722,45.615,15,4,80.6663663856117
"SACO-4",0.107450324632862,-116.959,45.178,-117.722,45.615,16,4,76.9649347028927
"SACO-4",0.200802491229864,-116.77,44.992,-117.722,45.615,17,4,101.810615680754
"SACO-4",0.257268899492053,-116.748,44.97,-117.722,45.615,18,4,104.752419176386
"SACO-4",0.188311757336684,-116.809,44.864,-117.722,45.615,19,4,110.047229868734
"SACO-4",0.198895768369542,-116.875,44.919,-117.722,45.615,20,4,102.011204316492
"SACO-4",0.329216559806424,-116.937,44.981,-117.722,45.615,21,4,93.5910613980309
"SACO-4",0.343635050053496,-116.817,44.903,-117.722,45.615,22,4,106.351124748442
