"site_id","site_name","lat","lon","locality_label"
1,"Assiniboine River",49.8674,-97.4375,"Representative GPS from Table 1"
2,"Lake Erie",41.8852,-82.8812,"Representative GPS from Table 1"
3,"Lower Mississippi River",31.0271,-91.5785,"Representative GPS from Table 1"
4,"Upper Mississippi River",44.5836,-92.5102,"Representative GPS from Table 1"
5,"Missouri River",40.3649,-95.6392,"Representative GPS from Table 1"
6,"Ohio River",38.7953,-84.1742,"Representative GPS from Table 1"
7,"Wabash River",38.9348,-87.5163,"Representative GPS from Table 1"
