Pop ID,Location
LSCR,Lower Santa Clara River (west of the Piru Dry Gap)
SFC,"Upper Santa Clara River, San Francisquito Canyon tributary"
VAL,"Upper Santa Clara River, Valencia-Del Valle Reach"
SGR,"East Fork San Gabriel River, Cattle Canyon tributary"
SDC,"San Gabriel River, San Dimas Canyon"
BTC,"Los Angeles River, Big Tujunga Canyon tributary"
HAC,"Los Angeles River, Haines Creek tributary"
SAR,"Santa Ana River, Mission Blvd. bridge crossing"
,
CAFUM,Catostomus fumeiventris
