"Data_source","Contributor_GenDivRange","Spec_id.x","Study_id","Spec_Latin_GenDivRange","Life_form","DOI_study","DOI_data","Spec_Latin_publication","Marker_type","N_pops","N_loci","GBIF_id","Spec_Latin_GBIF","Genus_GBIF","Family_GBIF","Order_GBIF","Class_GBIF","Phylum_GBIF","EOL_id","Spec_common_EOL","BIOME","Habitat_fishbase","Habitat_breeding","Habitat_adulthood","GBIF_doi","Spec_id.y","Pop_id","Spec_Latin_sub","Geog_1","Geog_2","Geog_3","Geog_4","Geog_5","Geog_6","Latitude","Longitude","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","min_dist_to_flowline","snapped_lon","snapped_lat"
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-4",NA,"United States of America","Peshtigo River",NA,NA,NA,NA,45.22872,-88.077,54,3.01,NA,NA,NA,NA,NA,NA,0.642,0.621,NA,NA,-0.03382,NA,"diploid",28.5386934370215,-88.0770212188997,45.2284638337297
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-5",NA,"United States of America","Oconto River",NA,NA,NA,NA,44.85587,-88.063,18,2.907,NA,NA,NA,NA,NA,NA,0.643,0.607,NA,NA,-0.05931,NA,"diploid",41.8130433096219,-88.0633421114381,44.8561568413331
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-6",NA,"United States of America","Wolf River",NA,NA,NA,NA,44.22638,-88.8401,81,3.151,NA,NA,NA,NA,NA,NA,0.591,0.626,NA,NA,0.055911,NA,"diploid",11.9764155823015,-88.8402174505853,44.2263129129152
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-7",NA,"United States of America","Fox River",NA,NA,NA,NA,44.28896,-88.2353,46,3.117,NA,NA,NA,NA,NA,NA,0.6,0.588,NA,NA,-0.02041,NA,"diploid",161.060692926244,-88.2366468736766,44.2900386862522
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-8",NA,"United States of America","Muskegon River",NA,NA,NA,NA,43.41889,-85.7567,17,3.424,NA,NA,NA,NA,NA,NA,0.651,0.651,NA,NA,0,NA,"diploid",18.4551504320919,-85.7569183933773,43.4189396833838
"VarVer","NA","ACFU","ACFU-3","Acipenser fulvescens","Fishes","10.1577/t05-213.1",NA,"Acipenser fulvescens","SSR",11,8,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-3-9",NA,"United States of America","Manistee River",NA,NA,NA,NA,44.26979,-85.8781,89,3.018,NA,NA,NA,NA,NA,NA,0.541,0.588,NA,NA,0.079932,NA,"diploid",152.094332946713,-85.8795484800292,44.2706799751222
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-10",NA,"United States of America","Wolf River",NA,NA,NA,NA,44.11011,-88.7101,30,4.615,NA,NA,NA,NA,NA,NA,NA,0.5368,NA,NA,NA,NA,"diploid",12.6826690421512,-88.7099410418572,44.1101100045246
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-15",NA,"United States of America","Detroit River",NA,NA,NA,NA,42.11045,-83.1384,33,4.154,NA,NA,NA,NA,NA,NA,NA,0.5654,NA,NA,NA,NA,"diploid",44.3465785212451,-83.1382535098228,42.1100683823099
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-18",NA,"United States of America","Black River",NA,NA,NA,NA,44.00109,-76.0561,11,3.846,NA,NA,NA,NA,NA,NA,NA,0.5404,NA,NA,NA,NA,"diploid",14.7883434304467,-76.0562595146823,44.0011572231003
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-19",NA,"United States of America","Grasse River",NA,NA,NA,NA,44.97986,-74.7781,28,3.077,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,"diploid",20.836142673943,-74.7779526802573,44.9797044879887
