Sample,Reach,Sfo_C113_1,Sfo_C113_2,Sfo_C115_1,Sfo_C115_2,Sfo_C129_1,Sfo_C129_2,Sfo_C38_1,Sfo_C38_2,Sfo_C88_1,Sfo_C88_2,Sfo_D91_1,Sfo_D91_2,Sfo_B52_1,Sfo_B52_2,Sfo_C24_1,Sfo_C24_2,Sfo_C28_1,Sfo_C28_2,Sfo_C79_1,Sfo_C79_2,Sfo_C86_1,Sfo_C86_2,Sfo_D75_1,Sfo_D75_2
BS-10-014,10,139,145,229,321,218,233,143,143,184,187,228,232,221,223,113,116,167,179,120,120,101,113,180,200
BS-10-016,10,124,151,239,305,224,230,143,143,184,187,220,228,223,223,116,116,167,179,120,120,101,113,176,216
BS-10-017,10,154,154,305,305,224,233,140,146,184,193,232,236,215,221,116,119,179,187,120,120,101,101,176,176
BS-10-019,10,133,133,229,305,227,233,140,146,184,187,236,236,215,221,116,119,179,179,120,120,101,113,172,184
BS-10-022,10,133,133,305,313,221,224,143,143,184,187,220,228,215,215,116,119,179,183,120,123,101,113,176,180
BS-10-025,10,130,139,305,309,233,233,143,149,181,190,NA,NA,215,227,113,119,171,179,120,120,101,113,180,184
BS-10-027,10,133,151,239,309,233,233,140,149,184,193,232,232,221,227,113,119,179,183,120,120,101,101,196,208
BS-10-029,10,130,142,321,321,230,233,143,143,184,190,220,232,NA,NA,113,116,175,187,120,120,101,101,176,180
BS-10-031,10,133,133,309,313,224,236,143,143,184,190,232,232,215,221,113,116,167,179,120,123,101,113,200,200
BS-10-032,10,133,133,309,321,230,233,143,143,184,187,228,228,215,223,113,116,179,179,120,123,101,101,200,216
BS-10-033,10,130,151,305,333,230,230,143,143,181,193,228,232,215,223,110,116,179,179,120,120,101,101,176,208
BS-10-035,10,130,142,235,235,233,233,143,143,184,187,220,232,215,221,113,116,179,183,120,120,101,101,180,208
BS-10-036,10,142,145,241,321,230,236,143,146,181,184,232,232,215,221,113,116,179,179,120,120,101,113,176,212
BS-10-037,10,130,133,229,241,224,233,140,146,181,187,228,232,215,227,116,119,179,187,120,120,101,119,176,180
BS-10-038,10,133,151,305,305,230,233,143,143,184,190,228,232,215,215,113,116,179,179,120,120,101,113,200,212
BS-10-040,10,124,151,241,305,230,233,143,143,184,190,232,236,221,223,113,113,179,187,120,120,101,119,176,176
BS-11-001,11,142,151,305,321,233,233,146,146,184,190,232,232,215,215,113,116,183,187,120,120,101,119,176,220
BS-11-002,11,151,151,305,313,230,233,143,149,184,190,NA,NA,215,215,116,119,183,187,120,120,101,101,184,212
BS-11-003,11,130,130,309,313,230,233,143,143,184,187,232,240,221,223,113,119,185,187,120,120,101,101,176,200
BS-11-004,11,145,151,229,305,233,233,143,143,184,190,216,232,223,225,116,119,187,187,120,120,110,113,176,184
BS-11-005,11,130,133,305,305,224,233,143,146,181,184,228,240,215,221,116,119,179,187,120,123,113,119,176,212
BS-11-006,11,130,133,305,305,221,233,140,143,181,184,232,236,219,221,113,113,179,179,120,120,101,113,176,180
BS-11-007,11,133,151,313,313,224,230,143,143,184,196,228,232,215,215,113,116,179,187,120,120,101,116,180,184
BS-11-008,11,151,151,305,309,230,233,143,149,184,196,232,232,223,223,113,113,187,203,120,120,113,113,176,184
BS-11-009,11,133,151,305,309,230,230,140,146,190,196,232,232,215,219,116,116,179,183,120,120,101,119,180,184
BS-11-010,11,130,133,309,309,233,233,143,146,181,184,228,232,225,227,113,116,179,187,120,120,101,101,176,176
BS-11-011,11,151,151,305,305,230,233,143,149,184,187,216,228,215,219,113,119,187,191,120,120,101,101,176,212
BS-11-012,11,130,130,305,305,230,233,143,146,184,184,232,232,219,221,116,116,167,183,120,120,101,101,176,176
BS-11-013,11,130,130,305,305,230,233,146,149,184,190,232,232,215,219,113,116,167,179,120,120,101,101,176,176
BS-11-014,11,130,145,235,305,233,233,143,143,184,184,228,232,215,231,116,116,175,179,120,120,101,101,200,200
BS-11-015,11,151,151,309,309,233,233,143,143,184,187,220,220,221,223,116,119,179,187,120,120,101,119,212,212
BS-11-016,11,142,151,229,309,221,233,143,143,190,199,220,228,223,231,113,116,167,179,120,120,110,119,184,216
BS-11-017,11,124,130,305,309,233,233,143,143,181,193,228,236,215,227,113,116,187,187,120,120,113,113,176,176
BS-11-018,11,124,151,305,305,233,233,143,143,184,199,232,240,215,223,113,116,179,187,120,120,101,110,176,184
BS-11-019,11,145,151,305,321,221,230,143,143,193,196,232,236,215,221,116,116,179,203,120,120,101,101,200,200
BS-11-020,11,133,151,235,305,233,233,140,143,184,184,216,220,215,231,113,119,183,187,120,120,101,113,212,216
BS-11-021,11,133,151,305,305,221,230,140,143,184,187,228,232,223,223,113,116,175,179,120,123,101,101,176,176
BS-11-022,11,151,151,229,229,224,233,143,149,181,196,232,232,215,227,113,116,179,191,120,120,101,101,176,184
BS-11-023,11,133,133,229,309,230,233,143,143,184,196,220,232,215,223,113,119,179,179,120,120,101,113,176,176
BS-11-024,11,130,133,305,313,227,233,143,143,184,196,232,232,215,231,113,113,175,179,120,120,101,119,176,176
BS-11-026,11,130,151,313,321,227,230,143,143,172,190,228,236,221,221,113,119,179,203,120,120,101,101,176,244
