Sample,Reach,Sfo_C113_1,Sfo_C113_2,Sfo_C115_1,Sfo_C115_2,Sfo_C129_1,Sfo_C129_2,Sfo_C38_1,Sfo_C38_2,Sfo_C88_1,Sfo_C88_2,Sfo_D91_1,Sfo_D91_2,Sfo_B52_1,Sfo_B52_2,Sfo_C24_1,Sfo_C24_2,Sfo_C28_1,Sfo_C28_2,Sfo_C79_1,Sfo_C79_2,Sfo_C86_1,Sfo_C86_2,Sfo_D75_1,Sfo_D75_2
BS-03-008,3,124,124,241,305,221,230,143,143,184,190,220,220,221,223,113,116,179,179,120,120,101,113,176,176
BS-03-010,3,151,154,301,305,230,233,143,143,184,190,220,240,215,217,113,116,175,191,120,120,113,119,196,212
BS-03-012,3,133,133,229,309,230,233,143,149,184,184,216,236,215,221,113,119,187,191,120,120,110,119,176,216
BS-03-013,3,130,136,235,321,233,233,140,143,181,187,240,240,215,221,113,116,179,179,120,120,101,113,176,180
BS-03-014,3,133,145,235,321,230,230,143,143,193,193,220,236,221,223,113,116,167,175,120,120,113,113,176,188
BS-03-015,3,136,145,237,305,224,233,143,143,184,184,220,232,221,227,113,116,179,187,120,120,101,101,176,212
BS-03-018,3,139,145,229,229,230,230,143,143,187,199,220,236,215,217,116,116,179,179,120,120,101,113,180,180
BS-03-019,3,142,142,229,309,224,230,143,143,184,184,220,232,217,223,113,116,177,179,120,120,101,119,176,212
BS-03-021,3,133,145,235,321,230,233,140,140,184,187,232,236,215,221,113,116,187,203,120,120,101,113,176,180
BS-03-022,3,130,145,243,309,224,230,143,143,181,190,232,236,215,217,113,116,179,187,120,120,101,113,180,200
BS-03-023,3,130,133,235,321,230,230,143,143,184,190,232,232,217,217,116,119,179,187,120,120,101,101,176,204
BS-03-024,3,124,145,305,313,233,233,140,143,184,190,228,228,215,215,113,116,179,179,120,120,101,119,176,244
BS-03-025,3,130,145,235,309,230,230,143,143,184,196,216,232,221,223,113,113,167,179,120,120,101,119,176,212
BS-03-026,3,142,151,305,305,233,233,140,143,181,184,232,240,203,221,116,116,179,187,120,123,101,110,176,180
BS-03-027,3,133,136,229,321,230,230,146,149,184,187,232,232,215,219,113,116,179,179,120,120,101,113,176,208
BS-03-028,3,133,133,305,321,224,233,143,143,181,190,228,264,221,223,113,116,179,191,120,120,101,101,200,216
BS-03-029,3,124,145,305,321,233,233,143,143,181,190,232,236,203,221,113,116,179,187,120,120,101,113,176,176
BS-03-030,3,124,142,243,321,233,233,140,143,190,190,220,236,215,221,116,116,167,179,120,120,101,113,176,212
BS-03-032,3,130,151,237,309,224,233,143,146,181,184,232,232,215,221,116,119,179,179,120,123,101,101,176,200
BS-04-001,4,133,133,305,305,230,230,143,143,184,187,232,232,215,215,116,116,167,175,120,120,101,113,176,176
BS-04-002,4,133,151,235,321,233,233,143,149,184,193,216,236,221,221,113,113,167,191,120,120,101,113,176,176
BS-04-003,4,124,151,309,333,221,233,143,143,184,184,216,232,221,223,113,116,179,187,120,120,101,101,176,216
BS-04-004,4,130,145,305,337,224,233,143,146,184,193,232,232,221,225,113,119,179,187,120,120,101,119,180,184
BS-04-007,4,139,151,305,321,224,233,143,143,184,193,232,232,215,223,113,113,179,179,120,120,101,101,176,188
BS-04-010,4,133,145,243,305,224,224,143,146,184,190,236,236,215,217,113,116,175,179,120,120,101,101,180,216
BS-04-011,4,151,151,305,305,221,230,143,143,184,193,232,236,221,225,113,119,179,179,120,120,101,113,176,212
BS-04-012,4,124,136,305,321,230,233,143,143,190,193,220,236,221,221,113,119,167,179,120,120,101,113,176,200
BS-04-014,4,145,151,229,241,224,224,140,143,187,190,228,232,215,223,113,116,175,187,120,120,101,101,176,176
BS-04-016,4,130,145,229,235,230,230,140,149,190,190,232,240,215,223,110,119,179,187,120,120,101,119,176,200
BS-04-018,4,142,151,305,305,230,233,143,146,184,184,232,232,219,221,113,119,167,179,120,120,101,119,176,212
BS-04-019,4,130,145,305,321,230,233,143,143,184,190,232,232,215,225,113,113,187,187,120,123,101,119,176,180
BS-04-021,4,133,151,321,321,233,233,143,149,190,190,220,228,215,223,113,113,179,179,120,120,101,119,176,176
BS-04-022,4,133,133,305,305,224,233,143,143,184,184,216,232,217,221,116,116,175,187,120,120,101,119,176,212
BS-04-024,4,124,154,305,305,230,233,143,143,181,193,220,236,215,223,116,119,179,187,120,120,101,101,176,176
BS-04-025,4,133,151,235,305,221,230,143,143,184,184,220,232,215,215,113,116,167,171,120,123,101,101,176,200
BS-04-027,4,142,142,305,305,230,230,143,143,184,190,232,232,221,227,116,116,179,187,120,120,101,113,176,208
BS-04-029,4,130,151,229,313,224,230,143,143,181,187,236,236,221,225,113,113,179,187,120,120,101,119,176,176
BS-04-030,4,133,133,243,305,230,233,140,143,184,193,232,264,215,217,113,116,167,183,120,120,110,119,176,176
BS-04-031,4,151,154,309,321,224,224,140,143,190,190,216,220,221,225,116,119,179,203,120,120,113,113,184,200
BS-04-032,4,133,133,229,309,230,233,143,149,181,184,216,236,215,221,116,116,167,179,120,120,113,116,200,200
