Etheostoma boschungi microsatellite DNA data
Eca10
Eca46
Eca48
EosC6
EosD107
Esc26b
Esc120
POP
           BSF6 , 248260 232232 191199 250250 204208 173217 183191 
           BSF7 , 248272 224232 191191 250250 204212 173189 187191 
           BSF8 , 248260 236244 183199 250250 208208 173201 207207 
           BSF9 , 288288 232240 191191 250250 204208 193205 191195 
          BSF10 , 260272 236236 183191 250250 208208 193193 199199 
          BSF11 , 284284 232232 191199 250250 204208 177213 183187 
POP
           TSC1 , 188212 212232 195195 238238 212212 177181 163175 
           TSC2 , 216232 216228 191191 238238 232236 177181 187187 
           TSC3 , 228236 232244 191211 238238 232236 177177 183183 
           TSC4 , 244244 224228 171191 238238 212212 193193 183183 
           TSC5 , 248248 212212 191191 238238 240240 189193 171183 
           TSC6 , 236236 212212 191219 238238 212212 177177 179191 
           TSC7 , 224248 212220 195207 238238 240240 173181 179183 
           TSC8 , 224248 216220 191219 238238 248260 169177 175183 
           TSC9 , 228236 220244 191195 238238 240268 181185 179195 
          TSC10 , 224244 216228 219219 238238 256260 177193 175175 
          TSC11 , 200200 216220 195207 238238 240240 169181 195195 
          TSC12 , 188228 216220 207207 238238 232248 177181 175175 
          TSC13 , 188236 212228 191195 238238 248248 161189 171195 
          TSC14 , 200240 216232 191195 238238 248256 177181 175175 
          TSC15 , 248248 216232 195215 238238 236248 173181 183199 
          TSC16 , 224244 216244 195211 238238 252268 165173 179183 
          TSC17 , 188232 212212 211215 238238 220220 177189 163175 
          TSC18 , 212220 212220 195207 238238 212212 161177 171175 
          TSC19 , 200248 216224 159195 238238 232268 161189 147151 
          TSC20 , 228236 220220 195219 238238 220260 161177 171183 
          TSC21 , 224236 228232 159227 238238 240240 161177 175195 
POP
           FBF6 , 204212 224228 171171 238250 244244 169173 155163 
           FBF7 , 204236 232260 159159 258258 236244 189197 163163 
           FBF8 , 212240 232248 159175 230238 220236 189205 167167 
          FBF18 , 208212 220272 159167 238250 220236 161189 167167 
          FBF19 , 212220 220244 159171 238258 232244 193209 167167 
          FBF20 , 236240 236256 163163 238258 232236 161181 143159 
          FBF21 , 204212 220240 159171 238250 232244 173177 167167 
          FBF22 , 208236 240268 159159 238242 228240 177177 143155 
          FBF23 , 212212 220268 167171 230238 240244 177181 159163 
          FBF24 , 212240 236248 159171 250254 232236 177177 159163 
           FBF1 , 208212 236252 155167 242250 248252 177189 143143 
           FBF2 , 236244 232244 159171 254258 228240 169189 159159 
           FBF3 , 208212 244244 155167 238254 232244 165193 167167 
           FBF4 , 204212 232244 151155 238242 220240 161165 159159 
           FBF5 , 208212 240240 159163 254262 212236 161189 155167 
           FBF9 , 208212 256288 159171 250278 236240 173189 155159 
          FBF10 , 212232 240260 159159 254262 212220 161209 163163 
          FBF11 , 212240 220236 155159 238258 232236 161181 167167 
          FBF12 , 212228 220268 155183 250254 228248 177193 143143 
          FBF13 , 236236 228236 155167 250258 232236 177193 147163 
          FBF14 , 216236 232244 171171 242254 240244 165177 143163 
          FBF15 , 212224 240244 155167 238238 244244 177197 155155 
          FBF16 , 216228 224248 171175 250250 216232 173193 143159 
          FBF17 , 204216 228240 163171 238250 232244 189193 147147 
          FBF25 , 208216 232268 167171 238258 232244 177193 143167 
          FBF26 , 208208 236244 155159 238258 220244 181193 159159 
          FBF27 , 208208 244276 159167 238238 228236 173189 143143 
          FBF28 , 208216 228236 163167 238258 240244 193193 167167 
          FBF29 , 208232 236272 163163 238254 240244 185189 167167 
          FBF30 , 212216 244248 167171 230254 244244 169189 167167 
          FBF31 , 212232 224276 163163 250258 220232 197209 147167 
