Comparison,G'ST,Lower 95%CI,Upper 95%CI,FST,Lower 95%CI,Upper 95%CI
ChMalW vs. LBDAF3,0.2953,0.2396,0.3635,0.1328,0.1037,0.1723
ChMalW vs. LBFBD1,0.2481,0.1978,0.3039,0.1182,0.0912,0.1459
ChMalW vs. LBFBD2,0.2539,0.2008,0.3223,0.1145,0.0905,0.1475
ChMalW vs. MissAD,0.0199,-0.0104,0.0589,0.0071,-0.006,0.0244
ChMalW vs. MissBD,0.0301,-0.0047,0.0727,0.0114,-0.0031,0.0291
ChML2 vs. IBADAF,0.3685,0.2756,0.4549,0.2515,0.1886,0.316
ChML2 vs. IBADBF,0.3648,0.2889,0.4559,0.221,0.1704,0.2821
ChML2 vs. IBBDBF,0.3677,0.2875,0.4632,0.243,0.191,0.301
ChML2 vs. LADAF1,0.3148,0.2239,0.4164,0.1578,0.1106,0.2126
ChML2 vs. LADAF2,0.3227,0.2449,0.4247,0.1703,0.1292,0.2255
ChML2 vs. LBDAF1,0.3041,0.2142,0.4132,0.1507,0.1045,0.2087
ChML2 vs. LBDAF2,0.3334,0.2407,0.438,0.1606,0.1041,0.2162
ChML2 vs. LBDAF3,0.3491,0.2528,0.4507,0.1656,0.115,0.2218
ChML2 vs. LBFBD1,0.3017,0.224,0.3984,0.1521,0.1133,0.2022
ChML2 vs. LBFBD2,0.272,0.1928,0.3978,0.1279,0.0881,0.1916
ChML2 vs. MissAD,0.0482,-0.0014,0.1333,0.0187,-0.003,0.0598
ChML2 vs. MissBD,0.0528,-0.0035,0.1325,0.0208,-0.0022,0.0566
IBADAF vs. IBADBF,-0.0052,-0.0257,0.0307,-0.0072,-0.028,0.0325
IBADAF vs. IBBDBF,0.0436,0.0119,0.0857,0.0414,0.0113,0.0838
IBADAF vs. LADAF1,0.4952,0.4548,0.5405,0.3607,0.3272,0.4063
IBADAF vs. LADAF2,0.5659,0.5097,0.6159,0.4098,0.36,0.4541
IBADAF vs. LBDAF1,0.4764,0.4188,0.5347,0.3498,0.3144,0.3914
IBADAF vs. LBDAF2,0.4753,0.4241,0.5434,0.3675,0.3212,0.4212
IBADAF vs. LBDAF3,0.4881,0.4322,0.5352,0.3778,0.3316,0.4254
IBADAF vs. LBFBD1,0.4876,0.4385,0.5426,0.359,0.3203,0.4013
IBADAF vs. LBFBD2,0.5144,0.4574,0.5609,0.3566,0.3159,0.396
IBADAF vs. MissAD,0.3501,0.3036,0.3928,0.2126,0.1826,0.2408
IBADAF vs. MissBD,0.3333,0.2769,0.3703,0.1995,0.1603,0.2249
IBADBF vs. IBBDBF,0.0219,-0.0094,0.0764,0.0212,-0.0086,0.073
IBADBF vs. LADAF1,0.4822,0.4211,0.5449,0.3318,0.2879,0.3752
IBADBF vs. LADAF2,0.5615,0.5035,0.6305,0.3872,0.3434,0.4424
IBADBF vs. LBDAF1,0.4709,0.3957,0.5437,0.3252,0.2777,0.3737
IBADBF vs. LBDAF2,0.4643,0.3974,0.553,0.3412,0.2888,0.399
IBADBF vs. LBDAF3,0.4744,0.4241,0.5439,0.3506,0.3045,0.3943
IBADBF vs. LBFBD1,0.4782,0.4173,0.5472,0.331,0.2871,0.3835
IBADBF vs. LBFBD2,0.5075,0.4426,0.5749,0.3277,0.2808,0.3728
IBADBF vs. MissAD,0.3353,0.288,0.3962,0.1847,0.1562,0.2211
IBADBF vs. MissBD,0.3098,0.2461,0.3638,0.168,0.1313,0.1992
IBBDBF vs. LADAF1,0.5458,0.5045,0.6002,0.3779,0.348,0.4252
IBBDBF vs. LADAF2,0.6189,0.5755,0.6705,0.4261,0.3886,0.4696
IBBDBF vs. LBDAF1,0.5367,0.4746,0.5974,0.3738,0.335,0.42
IBBDBF vs. LBDAF2,0.5365,0.4832,0.6168,0.3895,0.3417,0.4592
IBBDBF vs. LBDAF3,0.5376,0.4868,0.5949,0.3931,0.3538,0.4445
IBBDBF vs. LBFBD1,0.5418,0.4837,0.5956,0.3782,0.3387,0.422
IBBDBF vs. LBFBD2,0.559,0.5031,0.6214,0.3699,0.3244,0.419
IBBDBF vs. MissAD,0.3303,0.2715,0.3809,0.1979,0.1603,0.2373
IBBDBF vs. MissBD,0.2869,0.2436,0.3351,0.1704,0.1448,0.2043
LADAF1 vs. LADAF2,0.0028,-0.0209,0.0406,0.0023,-0.015,0.0303
LADAF1 vs. LBDAF1,-0.004,-0.0343,0.0317,-0.0031,-0.0239,0.0234
LADAF1 vs. LBDAF2,-0.013,-0.0477,0.0286,-0.0089,-0.0342,0.0206
LADAF1 vs. LBDAF3,-0.0187,-0.0601,0.0369,-0.0152,-0.0462,0.0294
LADAF1 vs. LBFBD1,-0.0046,-0.0347,0.0358,-0.0027,-0.0238,0.0253
LADAF1 vs. LBFBD2,0.0187,-0.0163,0.0628,0.0121,-0.0106,0.0409
LADAF1 vs. MissAD,0.2178,0.1704,0.2887,0.108,0.0835,0.1402
LADAF1 vs. MissBD,0.2651,0.2103,0.324,0.1283,0.1051,0.1556
LADAF2 vs. LBDAF1,0.0101,-0.0235,0.0614,0.0071,-0.017,0.0461
LADAF2 vs. LBDAF2,0.0112,-0.0362,0.0678,0.0098,-0.0255,0.0516
LADAF2 vs. LBDAF3,0.0167,-0.0392,0.0888,0.0119,-0.0301,0.0669
LADAF2 vs. LBFBD1,0.0015,-0.0314,0.0339,0.0021,-0.0222,0.0248
LADAF2 vs. LBFBD2,0.0315,-0.0085,0.0762,0.0212,-0.0063,0.0533
LADAF2 vs. MissAD,0.2374,0.1935,0.2967,0.1215,0.0976,0.1546
LADAF2 vs. MissBD,0.3017,0.2495,0.3577,0.1499,0.1228,0.1789
LBDAF1 vs. LBDAF2,-0.0249,-0.0595,0.0195,-0.018,-0.0435,0.0116
LBDAF1 vs. LBDAF3,-8.00E-04,-0.0467,0.0519,-0.0029,-0.0362,0.0357
LBDAF1 vs. LBFBD1,-0.0056,-0.0309,0.035,-0.0037,-0.0222,0.024
LBDAF1 vs. LBFBD2,-0.0027,-0.0314,0.0427,-0.0021,-0.0212,0.029
LBDAF1 vs. MissAD,0.2139,0.158,0.2878,0.1049,0.0788,0.136
LBDAF1 vs. MissBD,0.2726,0.2154,0.3302,0.1304,0.1042,0.1579
LBDAF2 vs. LBDAF3,-0.0273,-0.0791,0.0556,-0.0226,-0.0618,0.0369
LBDAF2 vs. LBFBD1,-0.0091,-0.0438,0.0445,-0.005,-0.0312,0.0357
LBDAF2 vs. LBFBD2,-0.0048,-0.0512,0.0424,-0.0032,-0.0323,0.028
LBDAF2 vs. MissAD,0.2383,0.1843,0.296,0.1146,0.0904,0.1416
LBDAF2 vs. MissBD,0.2986,0.2431,0.3563,0.1397,0.1144,0.1691
LBDAF3 vs. LBFBD1,-0.0097,-0.0509,0.0713,-0.0079,-0.0393,0.0584
LBDAF3 vs. LBFBD2,0.0212,-0.0266,0.0877,0.0117,-0.0206,0.0601
LBDAF3 vs. MissAD,0.2208,0.1642,0.2906,0.105,0.0795,0.1382
LBDAF3 vs. MissBD,0.2729,0.217,0.3518,0.1274,0.1002,0.1704
LBFBD1 vs. LBFBD2,0.0135,-0.0156,0.0487,0.0093,-0.0098,0.0342
LBFBD1 vs. MissAD,0.1832,0.1397,0.236,0.0916,0.0707,0.1155
LBFBD1 vs. MissBD,0.2384,0.1887,0.2964,0.1157,0.0929,0.1463
LBFBD2 vs. MissAD,0.2001,0.1471,0.2641,0.0948,0.0688,0.1252
LBFBD2 vs. MissBD,0.2586,0.1985,0.3352,0.1193,0.0905,0.1542
MissAD vs. MissBD,0.002,-0.0176,0.0325,4.00E-04,-0.0083,0.0135
,,,,,,
