"site","lat","lon"
"1",45.01,-92.5866666666667
"2",46.62,-88.585
"3",44.07,-82.42
"4",41.968,-80.946
"5",42.63,-82.77
"6",43.3,-77.18
"7",43.95,-74.88
"8",43.24,-73.83
"9",39.32,-83.08
