"Family","rand_intercept","rand_slope","intercept","slope","n_datasets","n_pairs"
"Cottidae",0.112042045192536,0.140360558430316,0.25480553085092,0.218442639597999,3,338
"Centrarchidae",0.0367448183377335,0.120679076250925,0.179508303996117,0.198761157418608,5,1312
"Salmonidae",0.0387165610120851,0.00578868605244995,0.181480046670469,0.0838707672201331,10,994
"Catostomidae",-0.0358569701766956,-0.0286960232030866,0.106906515481688,0.0493860579645966,4,888
"Percidae",-0.0228966526251885,-0.0397423802660363,0.119866833033195,0.0383397009016469,19,1050
"Leuciscidae",-0.0521233562384509,-0.058173270055051,0.0906401294199328,0.0199088111126322,23,3871
"Fundulidae",-0.045408416812869,-0.0662821280525667,0.0973550688455147,0.0117999531151165,4,173
"Ictaluridae",-0.0312180286888267,-0.0739345191557104,0.111545456969557,0.00414756201197275,3,57
