"site","lat","lon"
1,33.194344,-104.350733
2,35.916233,-113.334649
3,36.296067,-112.73687
4,36.169014,-111.811668
5,36.173867,-111.708984
6,39.296017,-110.062061
7,34.474674,-111.800951
