Chain #7
Seed for random number generator: 7 51 52 8 11

Acceptance rates for chain #7 (%)
ptild: 28.2878
theta: 25.7565
p: 32.7043
F: 41.2075
Mt: 12.888
nm: 30.5517
m: 51.1409

Migration rates
Into/From	1	2	3	4	5
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.188709	0.0420022
2	0.253449	0.0452969
3	0.182198	0.0400256
4	0.147719	0.0487506
5	0.0318993	0.0165043
6	0.103532	0.0307428
7	0.0110661	0.00969725
8	0.0606849	0.0234581
9	0.00570168	0.00587233
10	0.00535605	0.00559474
11	0.00518401	0.00543555
12	0.00450026	0.0052996
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00756878	0.00684019
2	0.0737914	0.0274502
3	0.0678997	0.0264648
4	0.0649492	0.0255168
5	0.0391885	0.0243415
6	0.0284933	0.0164165
7	0.062573	0.0242491
8	0.0309866	0.017473
9	0.0244696	0.0153768
10	0.0648312	0.0252095
11	0.0616601	0.0321964
12	0.0344286	0.0186298
13	0.0667356	0.0297564
14	0.0156108	0.0115292
15	0.0381852	0.0193134
16	0.0365718	0.0186116
17	0.071479	0.0262854
18	0.00302187	0.00424794
19	0.0278389	0.0150207
20	0.0207343	0.0134596
21	0.0166475	0.0116036
22	0.00452568	0.00498609
23	0.0175961	0.012595
24	0.00576794	0.00596994
25	0.00780408	0.00699577
26	0.0149006	0.0111183
27	0.00655071	0.00671394
28	0.0191336	0.0122707
29	0.0207825	0.0140087
30	0.0175002	0.0122153
31	0.0100254	0.00865677
32	0.00976512	0.00854501
33	0.0048962	0.00526924
34	0.00308699	0.0041366

In population 2
At locus 1
1	0.0641072	0.0220972
2	0.108533	0.0308061
3	0.0371278	0.0202364
4	0.124495	0.0304272
5	0.0590009	0.0233061
