iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-9823.39	-12762.3	-40.9039	15.8903	3005.07	-41.1204
1000200	-9809.34	-12734.1	-46.5042	15.8903	2995.49	-40.1104
1000300	-9823.43	-12772.9	-46.8564	15.8903	3023.78	-43.3302
1000400	-9779.66	-12769.7	-37.5378	15.8903	3052.95	-41.282
1000500	-9758.72	-12769.9	-43.461	15.8903	3079.97	-41.2228
1000600	-9791.32	-12786	-41.7739	15.8903	3063.51	-42.9541
1000700	-9845.03	-12822.5	-42.3033	15.8903	3044.88	-41.0173
1000800	-9825.96	-12797.5	-39.9648	15.8903	3037.55	-41.9565
1000900	-9855.42	-12800.6	-52.8571	15.8903	3025.09	-42.9229
1001000	-9829.11	-12786.8	-53.7588	15.8903	3040.69	-45.1417
1001100	-9767.86	-12768.9	-43.9953	15.8903	3073.91	-44.7291
1001200	-9812.42	-12806.6	-46.236	15.8903	3070.36	-45.8574
1001300	-9823.86	-12766.7	-45.9323	15.8903	3016.01	-43.1699
1001400	-9823.27	-12732.7	-45.0204	15.8903	2980.06	-41.4696
1001500	-9856.01	-12726.1	-42.251	15.8903	2934.72	-38.2625
1001600	-9923.79	-12749.8	-53.4818	15.8903	2901.04	-37.4136
1001700	-9932.27	-12780.7	-58.3296	15.8903	2928.8	-37.9603
1001800	-9945.76	-12783.8	-58.9103	15.8903	2922.25	-41.1622
1001900	-9843.98	-12749	-54.4198	15.8903	2986.85	-43.267
1002000	-9853.57	-12753.8	-50.3842	15.8903	2975.14	-40.3762
1002100	-9896.42	-12780.1	-42.3581	15.8903	2949.72	-39.5637
1002200	-9854.56	-12741.5	-51.7953	15.8903	2960.76	-37.8722
1002300	-9864.96	-12726.8	-58.2394	15.8903	2942.38	-38.1462
1002400	-9917.51	-12778.4	-50.1214	15.8903	2935.16	-40.0783
1002500	-9881.42	-12772.6	-53.6771	15.8903	2969.09	-40.1572
1002600	-9896.49	-12772	-48.2969	15.8903	2948.84	-40.9571
1002700	-9971.94	-12830.8	-47.2547	15.8903	2930.96	-40.6841
1002800	-9879.3	-12767.2	-45.6494	15.8903	2959.11	-41.4684
1002900	-9831.29	-12768.6	-43.8546	15.8903	3006.64	-41.3316
1003000	-9845.81	-12789.4	-54.9757	15.8903	3026.01	-43.3324
1003100	-9912.34	-12806.5	-48.659	15.8903	2970.9	-43.9459
1003200	-9854.78	-12771.5	-50.257	15.8903	2992.93	-41.8898
1003300	-9893.41	-12815.6	-44.7502	15.8903	2995.97	-44.8956
1003400	-9895.47	-12812.6	-56.3303	15.8903	3002.91	-45.3268
1003500	-9933.1	-12840.8	-47.2866	15.8903	2982.18	-43.0403
1003600	-9944.67	-12808.6	-57.2154	15.8903	2946.94	-41.6907
1003700	-9906	-12771.5	-52.1152	15.8903	2945.93	-44.1617
1003800	-9919.95	-12762.7	-49.2553	15.8903	2917.16	-41.0717
1003900	-9855.76	-12724.7	-45.4199	15.8903	2938.41	-39.9768
1004000	-9856.96	-12735.7	-45.0915	15.8903	2947.87	-39.8946
1004100	-9890.66	-12717.5	-45.4948	15.8903	2898.05	-41.6408
1004200	-9967.82	-12781.2	-44.3433	15.8903	2881.47	-39.662
1004300	-9957.48	-12782	-58.0313	15.8903	2907.2	-40.5895
1004400	-9935.14	-12763.7	-48.3837	15.8903	2900.94	-39.8932
1004500	-9922.87	-12746.2	-62.3203	15.8903	2909.65	-39.8899
1004600	-9950.7	-12768.8	-49.0643	15.8903	2893.44	-42.2152
1004700	-9895.55	-12770.6	-49.7818	15.8903	2952.97	-44.0018
1004800	-9914.27	-12751.9	-47.0072	15.8903	2912.89	-44.1718
1004900	-9997.24	-12829.5	-47.6451	15.8903	2906.13	-42.1581
1005000	-9961.3	-12823.5	-47.9763	15.8903	2936.58	-42.3051
1005100	-9918.03	-12811.5	-49.0664	15.8903	2969.59	-42.9949
1005200	-9937.55	-12815.9	-60.6808	15.8903	2967.16	-44.0089
1005300	-9901.35	-12799.2	-49.1538	15.8903	2972.05	-40.9743
1005400	-9936.5	-12802	-64.2764	15.8903	2957.21	-43.3568
1005500	-9918.05	-12774.2	-51.3837	15.8903	2934.61	-42.9921
1005600	-9917.53	-12769.3	-46.7563	15.8903	2924.96	-42.278
1005700	-9896.83	-12762	-50.8204	15.8903	2941.61	-41.4813
1005800	-9900.43	-12785.3	-60.8212	15.8903	2974.33	-44.5706
1005900	-9929.4	-12786.6	-51.694	15.8903	2939.15	-46.125
1006000	-9831.78	-12784.5	-43.0973	15.8903	3026.34	-46.4206
1006100	-9822.87	-12779.3	-46.8828	15.8903	3032.67	-45.2166
1006200	-9865.47	-12799.2	-46.1347	15.8903	3006.59	-42.5791
1006300	-9896.76	-12815.4	-51.2886	15.8903	2997.41	-43.327
1006400	-9926.67	-12822.4	-44.3477	15.8903	2969.77	-45.5582
1006500	-9901.33	-12794	-50.1737	15.8903	2970.35	-43.3636
1006600	-9930.64	-12830.4	-53.9299	15.8903	2982.84	-45.0624
1006700	-9860.43	-12784.7	-52.5495	15.8903	3006.74	-45.8259
