iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-9789.11	-12734.4	-75.1111	15.8903	3049.63	-45.1387
1000200	-9806.22	-12749.1	-85.7427	15.8903	3058.03	-45.2711
1000300	-9773.23	-12704.9	-91.6102	15.8903	3051.46	-44.0749
1000400	-9800.05	-12723	-87.0131	15.8903	3037.66	-43.6021
1000500	-9784.05	-12698	-86.0755	15.8903	3025.83	-41.7356
1000600	-9819.16	-12709	-65.5061	15.8903	2979.94	-40.5141
1000700	-9784.31	-12660.1	-83.9041	15.8903	2982.59	-38.8316
1000800	-9780.28	-12701	-67.2946	15.8903	3012.22	-40.0845
1000900	-9794.81	-12723.2	-72.1614	15.8903	3027.58	-42.9049
1001000	-9772.33	-12719.6	-62.1596	15.8903	3036.43	-42.8811
1001100	-9774.08	-12739.9	-73.2771	15.8903	3065.33	-42.1515
1001200	-9738.86	-12746.5	-66.4886	15.8903	3100.71	-42.5039
1001300	-9704	-12691.1	-66.0525	15.8903	3080.84	-43.5797
1001400	-9749.11	-12749.6	-75.4885	15.8903	3105.59	-45.4525
1001500	-9740.18	-12726.5	-61.6372	15.8903	3076.22	-44.134
1001600	-9777.43	-12738.3	-68.1582	15.8903	3056.69	-43.5398
1001700	-9751.85	-12712.2	-72.4877	15.8903	3059.92	-42.9736
1001800	-9697.61	-12692	-68.3378	15.8903	3086.73	-39.8883
1001900	-9732.39	-12687.7	-80.3419	15.8903	3061.3	-41.495
1002000	-9712.23	-12669.4	-67.0894	15.8903	3048.88	-40.5608
1002100	-9759.25	-12699.6	-68.1135	15.8903	3030.34	-37.7383
1002200	-9787.36	-12721.8	-75.9117	15.8903	3034.33	-39.8741
1002300	-9785.88	-12733.9	-81.3624	15.8903	3054.4	-40.8683
1002400	-9771.09	-12722.3	-69.9187	15.8903	3047.65	-42.4499
1002500	-9757.15	-12704.4	-79.9751	15.8903	3051.97	-40.5923
1002600	-9750.21	-12700.5	-74.5774	15.8903	3051.61	-42.6621
1002700	-9686.32	-12685.1	-73.9247	15.8903	3095.39	-38.5887
1002800	-9681.69	-12705.1	-70.3486	15.8903	3117.83	-40.0039
1002900	-9732.31	-12706	-78.1508	15.8903	3075.23	-39.2784
1003000	-9656.58	-12670.6	-66.6804	15.8903	3103.36	-38.5298
1003100	-9715.81	-12762.9	-60.9962	15.8903	3132.29	-40.0705
1003200	-9710.27	-12746.7	-59.1588	15.8903	3119.46	-39.7127
1003300	-9657.26	-12729.1	-68.6665	15.8903	3165.13	-40.5013
1003400	-9692.98	-12711.2	-79.0298	15.8903	3121.47	-40.1351
1003500	-9656.52	-12711.4	-59.4011	15.8903	3140.13	-41.7446
1003600	-9639.06	-12706	-65.6958	15.8903	3160.32	-43.5545
1003700	-9700.59	-12761.6	-68.3203	15.8903	3158.16	-44.7043
1003800	-9746.8	-12758.6	-75.7683	15.8903	3114.57	-42.8718
1003900	-9789.75	-12747.1	-81.0521	15.8903	3065.36	-42.8729
1004000	-9747.3	-12712.5	-74.8127	15.8903	3066.01	-41.9001
1004100	-9731.83	-12759.3	-68.5292	15.8903	3123.15	-43.0063
1004200	-9686.5	-12744.3	-67.8797	15.8903	3155.03	-45.2189
1004300	-9715.87	-12760.1	-65.1802	15.8903	3138.78	-45.2748
1004400	-9733.24	-12766.7	-69.4201	15.8903	3132.46	-45.5163
1004500	-9768.52	-12778.4	-81.9572	15.8903	3122.39	-46.4384
1004600	-9739.3	-12710.6	-90.5615	15.8903	3087.77	-41.8398
1004700	-9780.18	-12740.9	-90.4369	15.8903	3077.07	-41.8536
1004800	-9734.23	-12699.6	-65.1739	15.8903	3058.7	-44.0072
1004900	-9734.5	-12743.8	-61.0075	15.8903	3098.99	-44.5755
1005000	-9767.77	-12749	-69.7515	15.8903	3076.16	-41.0918
1005100	-9793.43	-12787	-70.5386	15.8903	3091.82	-43.584
1005200	-9721.1	-12702.3	-74.0808	15.8903	3080.54	-41.1701
1005300	-9770.7	-12705.6	-66.0802	15.8903	3024.48	-39.3773
1005400	-9738.94	-12684.3	-67.4698	15.8903	3035.97	-39.0255
1005500	-9760.61	-12710.9	-92.5629	15.8903	3066.57	-39.5919
1005600	-9764.76	-12708.7	-89.6228	15.8903	3059.38	-41.7437
1005700	-9803.16	-12755.8	-70.1484	15.8903	3047.17	-40.2961
1005800	-9741.62	-12680.6	-73.0214	15.8903	3034.81	-38.6793
1005900	-9771.62	-12713.3	-85.8609	15.8903	3054.21	-42.5833
1006000	-9766.83	-12715.6	-70.4966	15.8903	3045.59	-42.2557
1006100	-9755.17	-12739.1	-73.8547	15.8903	3084.11	-42.2472
1006200	-9734.5	-12719.1	-73.4836	15.8903	3086.57	-44.3843
1006300	-9783.09	-12747.3	-70.8714	15.8903	3060.33	-41.1748
1006400	-9763.87	-12720.3	-73.1522	15.8903	3057	-43.2946
1006500	-9755	-12731.8	-58.0877	15.8903	3060.63	-41.6701
1006600	-9786.13	-12764.6	-70.2805	15.8903	3076.01	-43.147
1006700	-9719.25	-12714.5	-71.861	15.8903	3094.94	-43.6896
1006800	-9770.27	-12724.9	-74.1408	15.8903	3057.71	-44.8404
1006900	-9727.2	-12727.9	-64.7353	15.8903	3095.23	-45.6465
1007000	-9866.96	-12802.3	-81.9647	15.8903	3045.36	-43.9756
1007100	-9801.05	-12742	-80.2706	15.8903	3050.35	-45.0708
1007200	-9799.3	-12746.4	-77.3844	15.8903	3052.27	-43.69
1007300	-9813.9	-12770.8	-68.1108	15.8903	3054.34	-45.2046
1007400	-9749.83	-12731.5	-71.1801	15.8903	3082.83	-45.8806
1007500	-9741.35	-12753.7	-67.8798	15.8903	3110.83	-46.441
1007600	-9793.29	-12788.6	-72.0782	15.8903	3097.53	-46.0041
1007700	-9789.13	-12745.6	-100.32	15.8903	3087.69	-46.7973
1007800	-9715.57	-12720.4	-76.5447	15.8903	3111.89	-46.4189
1007900	-9723	-12742	-76.3366	15.8903	3126.03	-46.6214
1008000	-9708.95	-12706.4	-70.3662	15.8903	3096	-44.1157
1008100	-9743.37	-12720.3	-84.1142	15.8903	3089.86	-44.6816
1008200	-9722.93	-12730.7	-78.6927	15.8903	3116.79	-46.2279
1008300	-9733.59	-12717.8	-83.7744	15.8903	3096.56	-44.4963
1008400	-9738.8	-12733.1	-74.1362	15.8903	3097.25	-44.7329
1008500	-9696.1	-12732.9	-68.337	15.8903	3137.22	-47.9597
1008600	-9726.73	-12744.2	-82.2953	15.8903	3130.32	-46.4074
1008700	-9640.42	-12681.6	-68.3738	15.8903	3138.54	-44.8436
1008800	-9674.26	-12716.5	-74.8839	15.8903	3148.32	-47.0888
1008900	-9688.64	-12700	-67.5103	15.8903	3107.42	-44.4774
1009000	-9699.97	-12746.7	-78.5062	15.8903	3154.53	-45.1628
1009100	-9741.09	-12748.4	-74.2273	15.8903	3109.1	-43.429
1009200	-9726.31	-12703.7	-80.4272	15.8903	3084.96	-43.0824
1009300	-9693.16	-12701.7	-72.7202	15.8903	3109.18	-43.827
1009400	-9728.06	-12694.6	-74.0452	15.8903	3066.11	-41.3714
1009500	-9752.73	-12720.2	-76.1336	15.8903	3069.19	-41.4862
1009600	-9787.83	-12786.9	-74.8433	15.8903	3101.99	-43.97
1009700	-9817.28	-12785.6	-69.1725	15.8903	3063.13	-41.5036
1009800	-9754.71	-12735.7	-71.2065	15.8903	3080.05	-43.6981
1009900	-9761.1	-12739.3	-72.58	15.8903	3079.16	-44.2386
1010000	-9727.48	-12695.8	-65.4915	15.8903	3063.25	-45.3207
1010100	-9751.26	-12739.4	-63.4386	15.8903	3080.64	-44.9108
1010200	-9766.59	-12741.6	-72.5868	15.8903	3077.28	-45.5962
1010300	-9752.01	-12747.2	-78.0593	15.8903	3106.12	-48.7853
1010400	-9795.71	-12781.6	-80.6175	15.8903	3099.29	-48.6375
1010500	-9745.25	-12737.8	-82.209	15.8903	3106.73	-47.8393
1010600	-9748.2	-12745.1	-68.0365	15.8903	3093.33	-44.2376
1010700	-9748.26	-12718.4	-82.6484	15.8903	3080.73	-43.8212
1010800	-9774.16	-12705.5	-81.856	15.8903	3040.23	-42.9466
1010900	-9749.83	-12718.6	-68.8185	15.8903	3062.8	-41.1523
1011000	-9775.73	-12731.6	-71.4019	15.8903	3049.77	-38.3772
1011100	-9807.8	-12725.8	-83.8056	15.8903	3023.34	-37.394
1011200	-9830.85	-12715	-83.3856	15.8903	2985.86	-34.2087
1011300	-9763.75	-12676.9	-71.2043	15.8903	3002.72	-34.2694
1011400	-9768.41	-12727.6	-76.8691	15.8903	3056.75	-36.5887
1011500	-9730.08	-12684.1	-68.3364	15.8903	3043.33	-36.8454
1011600	-9696.22	-12666.4	-73.688	15.8903	3065.98	-38.0164
1011700	-9787.72	-12734.4	-83.131	15.8903	3052.17	-38.2684
1011800	-9754.82	-12696.5	-73.7234	15.8903	3037.23	-37.688
1011900	-9683.2	-12651.1	-78.1126	15.8903	3070.37	-40.2919
1012000	-9703.21	-12666.7	-77.7515	15.8903	3063.13	-37.746
1012100	-9773.6	-12728.5	-75.506	15.8903	3055.63	-41.0752
1012200	-9771.99	-12682.1	-82.7475	15.8903	3015.88	-38.8722
1012300	-9760.8	-12675.2	-76.6003	15.8903	3014.13	-39.0184
1012400	-9772.35	-12712.6	-81.0142	15.8903	3046.45	-41.0477
1012500	-9747.7	-12682.9	-77.4413	15.8903	3035.76	-39.0029
1012600	-9750.2	-12716	-64.867	15.8903	3056.62	-41.8046
1012700	-9817.84	-12745	-74.1058	15.8903	3026.17	-40.8147
1012800	-9738.86	-12668.6	-75.5593	15.8903	3028.17	-38.7913
1012900	-9769.67	-12710.3	-79.1167	15.8903	3043.99	-40.1272
1013000	-9789.72	-12752.8	-70.1685	15.8903	3060.91	-43.5495
1013100	-9695.25	-12673.2	-82.388	15.8903	3085.57	-41.109
1013200	-9770.18	-12737.4	-76.5213	15.8903	3070.72	-42.8868
1013300	-9723.92	-12705.8	-81.3838	15.8903	3090.18	-42.8358
1013400	-9803.17	-12725.2	-66.828	15.8903	3015.84	-42.8793
1013500	-9870.03	-12757.3	-78.2493	15.8903	2991.35	-41.7683
1013600	-9821.05	-12717.5	-81.5029	15.8903	3002.14	-40.0742
1013700	-9845.17	-12733.9	-86.3591	15.8903	3000.38	-41.2152
1013800	-9719.07	-12713.6	-56.8422	15.8903	3076.8	-41.273
1013900	-9796.8	-12766.4	-62.8562	15.8903	3059.48	-42.9368
1014000	-9765.68	-12713.2	-71.1724	15.8903	3046.77	-43.9576
1014100	-9796.48	-12713.3	-84.6598	15.8903	3028.2	-42.6144
1014200	-9764.65	-12654.2	-83.9875	15.8903	2997.64	-40.0104
1014300	-9792.18	-12690.8	-75.3165	15.8903	2997.22	-39.1596
1014400	-9822.04	-12724.7	-68.2948	15.8903	2994.47	-39.4295
1014500	-9779.55	-12700.2	-73.4354	15.8903	3018.76	-40.5512
1014600	-9824.47	-12719	-72.8433	15.8903	2991.76	-40.2404
1014700	-9782.96	-12729.2	-61.9254	15.8903	3033.08	-40.8373
1014800	-9815.7	-12718.2	-79.6308	15.8903	3005.44	-39.2564
1014900	-9749.1	-12719.7	-70.3047	15.8903	3065.7	-40.6919
1015000	-9753.19	-12700	-64.7286	15.8903	3036.98	-41.2796
1015100	-9794.44	-12722	-77.1916	15.8903	3031.21	-42.3825
1015200	-9798.05	-12704.1	-63.3691	15.8903	2994.22	-40.6522
1015300	-9836.17	-12712.5	-79.0271	15.8903	2978.41	-38.9352
1015400	-9839.85	-12753.6	-61.651	15.8903	3000.89	-41.4112
1015500	-9830.39	-12752	-74.95	15.8903	3024.42	-43.7725
1015600	-9824.53	-12740.9	-70.4157	15.8903	3014.41	-43.5054
1015700	-9764.65	-12711.2	-62.4789	15.8903	3034.55	-41.452
1015800	-9776.57	-12687.6	-67.6537	15.8903	3003.44	-40.6775
1015900	-9822.18	-12717.8	-75.2913	15.8903	2997.1	-42.0699
1016000	-9785.74	-12715	-64.0325	15.8903	3016.93	-39.5067
1016100	-9811.81	-12728.3	-70.7139	15.8903	3010.26	-38.9464
1016200	-9783.84	-12682.9	-66.1543	15.8903	2989.67	-40.3135
