Chain #6
Seed for random number generator: 6 51 52 8 11

Acceptance rates for chain #6 (%)
ptild: 25.9395
theta: 30.8874
p: 30.9348
F: 38.6244
Mt: 12.9984
nm: 27.9706
m: 51.8468

Migration rates
Into/From	1	2	3	4	5
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.189205	0.0422723
2	0.240269	0.0439562
3	0.189386	0.0403232
4	0.170102	0.0506889
5	0.0289584	0.0163358
6	0.0999572	0.0304912
7	0.00978043	0.00935233
8	0.0577796	0.0235969
9	0.00417245	0.00514243
10	0.00367205	0.00478866
11	0.00354995	0.00466155
12	0.00316802	0.00462383
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00637447	0.00658201
2	0.0714025	0.0268499
3	0.0631817	0.0256198
4	0.0693082	0.0270172
5	0.0501536	0.024736
6	0.0275192	0.0160138
7	0.0621942	0.0242891
8	0.0270699	0.0162884
9	0.0259475	0.0163667
10	0.0618028	0.0251561
11	0.0761395	0.0321419
12	0.0310862	0.0182764
13	0.0791348	0.032077
14	0.0143812	0.0117252
15	0.0435308	0.0201564
16	0.0320391	0.0180096
17	0.0659445	0.0258145
18	0.00312281	0.00434497
19	0.0261993	0.014863
20	0.021518	0.013506
21	0.0144882	0.0114963
22	0.00382105	0.00483164
23	0.0171488	0.0124634
24	0.0046801	0.0054327
25	0.0061751	0.00656013
26	0.0135546	0.0106938
27	0.00609578	0.00661307
28	0.0174962	0.0118903
29	0.017258	0.0125273
30	0.0168131	0.0124174
31	0.00865341	0.00818843
32	0.0095431	0.00860482
33	0.00344019	0.00468875
34	0.00278215	0.00399917

In population 2
At locus 1
1	0.0761904	0.0247021
2	0.103055	0.0300543
3	0.0394972	0.021543
4	0.127778	0.032172
5	0.069798	0.0260862
6	0.0196107	0.0157991
7	0.0117499	0.0129313
8	0.0365155	0.0179854
9	0.125095	0.0316873
10	0.0284984	0.0150207
11	0.0132678	0.0124415
12	0.121977	0.0329035
13	0.0261667	0.0145041
14	0.0482719	0.0218989
15	0.00679277	0.00866589
16	0.0394629	0.0173271
17	0.0141705	0.0133651
18	0.00790386	0.00954596
19	0.00156989	0.00315227
20	0.018194	0.0145218
21	0.00437032	0.00605199
22	0.016916	0.0143384
23	0.00886243	0.0104734
24	0.0074875	0.00816483
25	0.0192136	0.0136473
26	0.00331173	0.00549226
27	0.00427347	0.00648701
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.187565	0.0386429
2	0.0503301	0.0237988
3	0.0828538	0.0303474
4	0.0933665	0.0294493
5	0.0240075	0.0156412
6	0.205594	0.0391167
7	0.0212504	0.0145374
8	0.0923912	0.0291483
9	0.00386433	0.00575307
10	0.00434688	0.00654933
11	0.0319655	0.0172022
12	0.00327177	0.00537636
13	0.00375699	0.00605106
14	0.00773274	0.00981609
15	0.0309553	0.0201673
16	0.0130197	0.0095837
17	0.0558732	0.0216919
18	0.0153854	0.0108392
19	0.00497011	0.00658932
20	0.00315323	0.00528288
21	0.0069938	0.00882006
22	0.00265114	0.00469223
23	0.00243148	0.00432129
24	0.00102562	0.00270531
25	0.00206221	0.00403332
26	0.00246385	0.00413367
27	0.00145848	0.00321509
28	0.00143502	0.00340976
29	0.021849	0.0115466
30	0.021975	0.0120188
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.36108	0.0475364
2	0.251154	0.0453755
3	0.352823	0.0488414
4	0.0279699	0.0173758
5	0.00412189	0.00617413
6	0.00100778	0.00245604
7	0.00184383	0.00342518
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.117927	0.0318253
2	0.165533	0.0399981
3	0.568059	0.0500439
4	0.0776419	0.0256843
5	0.00516551	0.00708144
6	0.0582804	0.0244768
7	0.00739303	0.00855318
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.716962	0.0429837
2	0.0429087	0.0188746
3	0.00997038	0.0114611
4	0.00226336	0.00414028
5	0.145178	0.0331447
6	0.00858872	0.0105792
7	0.004553	0.00705356
8	0.0515263	0.020321
9	0.00214985	0.00395896
10	0.0020267	0.0037929
11	0.0014137	0.00312034
12	0.0124587	0.00840611
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.301542	0.0453516
2	0.343956	0.0456778
3	0.137373	0.0325273
4	0.0508675	0.0209988
5	0.0515946	0.0194825
6	0.0239421	0.0152936
7	0.0324192	0.0180168
8	0.0345188	0.0156544
9	0.00824778	0.00946995
10	0.0101382	0.0101387
11	0.00540031	0.00751463
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
