0	0.0078	0.0274	0.0261	0.0234	0.0068	0.0011	0.0021	0.0128	0.0049
0.0078	0	0.0234	0.0344	0.0168	0.001	0.004	0.018	0.0126	0.0114
0.0274	0.0234	0	0.0373	0.0111	0.0037	0.009	0.021	0.0126	0.0076
0.0261	0.0344	0.0373	0	0.0396	0.0265	0.0375	0.0173	0.0256	0.023
0.0234	0.0168	0.0111	0.0396	0	0.0068	-0.0015	0.0223	0.0074	0.0139
0.0068	0.001	0.0037	0.0265	0.0068	0	0.0015	0.0149	0.0068	0.0014
0.0011	0.004	0.009	0.0375	-0.0015	0.0015	0	0.0015	0.0047	0.0013
0.0021	0.018	0.021	0.0173	0.0223	0.0149	0.0015	0	0.0059	0.0018
0.0128	0.0126	0.0126	0.0256	0.0074	0.0068	0.0047	0.0059	0	-0.0002
0.0049	0.0114	0.0076	0.023	0.0139	0.0014	0.0013	0.0018	-0.0002	0
