,1,2,3,4,8,7,9,10,11,12,13,14
1,0,5516.482837,73103.41512,57843.40229,99858.89144,103807.3952,117032.005,120763.4207,134199.9047,122998.6661,123765.7831,137096.2362
2,5516.482837,0,67629.69766,52369.68484,94385.17399,98333.67778,111558.2875,115289.7032,128726.1872,117524.9487,118292.0656,131622.5188
3,73103.41512,67629.69766,0,15260.01283,75968.74903,79917.25283,93141.86255,96873.27827,110309.7623,99108.52372,99875.64065,113206.0938
4,57843.40229,52369.68484,15260.01283,0,60708.7362,64657.24,77881.84973,81613.26544,95049.74945,83848.51089,84615.62782,97946.08097
8,99858.89144,94385.17399,75968.74903,60708.7362,0,3948.503797,24684.02153,28415.43725,41851.92126,30650.6827,31417.79963,44748.25277
7,103807.3952,98333.67778,79917.25283,64657.24,3948.503797,0,28632.52533,32363.94105,45800.42505,34599.1865,35366.30342,48696.75657
9,117032.005,111558.2875,93141.86255,77881.84973,24684.02153,28632.52533,0,17937.35653,31373.84054,20172.60198,20939.71891,34270.17206
10,120763.4207,115289.7032,96873.27827,81613.26544,28415.43725,32363.94105,17937.35653,0,24708.51135,13507.27279,14274.38972,27604.84287
11,134199.9047,128726.1872,110309.7623,95049.74945,41851.92126,45800.42505,31373.84054,24708.51135,0,11201.23856,16260.54004,29590.99319
12,122998.6661,117524.9487,99108.52372,83848.51089,30650.6827,34599.1865,20172.60198,13507.27279,11201.23856,0,5059.301485,18389.75463
13,123765.7831,118292.0656,99875.64065,84615.62782,31417.79963,35366.30342,20939.71891,14274.38972,16260.54004,5059.301485,0,16824.52288
14,137096.2362,131622.5188,113206.0938,97946.08097,44748.25277,48696.75657,34270.17206,27604.84287,29590.99319,18389.75463,16824.52288,0
